# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
1             	9.999872e-01	0.000000e+00	0.000000e+00
2             	1.000000e+00	3.827754e-01	1.000000e+00
3             	2.013143e-01	5.479131e-02	3.462959e-01
4             	1.330795e-01	2.524145e-02	2.203215e-01
5             	1.490258e-01	1.739735e-02	3.308063e-01
6             	1.636362e-01	1.349149e-02	3.601066e-01
7             	1.770712e-01	1.077123e-02	3.007680e-01
8             	1.633170e-01	8.834703e-03	2.565862e-01
9             	1.409437e-01	7.401077e-03	2.588135e-01
10            	1.244616e-01	6.287873e-03	3.201049e-01
11            	1.158157e-01	5.385421e-03	3.763523e-01
12            	1.134437e-01	4.663442e-03	4.522245e-01
13            	1.078442e-01	4.068139e-03	4.475348e-01
14            	1.081893e-01	3.568786e-03	4.039789e-01
15            	1.169518e-01	3.142829e-03	4.145595e-01
16            	1.204101e-01	2.777994e-03	3.721724e-01
17            	1.192097e-01	2.460815e-03	3.168547e-01
18            	1.179375e-01	2.191592e-03	2.770816e-01
19            	1.203418e-01	1.956757e-03	2.559837e-01
20            	1.229859e-01	1.755520e-03	2.173000e-01
21            	1.245780e-01	1.577563e-03	2.066087e-01
22            	1.217769e-01	1.422982e-03	2.004932e-01
23            	1.176525e-01	1.287776e-03	2.029500e-01
24            	1.194032e-01	1.169052e-03	2.106479e-01
25            	1.145741e-01	1.068227e-03	2.265113e-01
26            	1.064993e-01	9.792630e-04	2.398252e-01
27            	9.415510e-02	9.022957e-04	2.271428e-01
28            	8.782545e-02	8.313735e-04	2.184875e-01
29            	8.374061e-02	7.681452e-04	2.108448e-01
30            	7.629240e-02	7.100099e-04	2.048248e-01
31            	7.148642e-02	6.579135e-04	1.939162e-01
32            	6.853787e-02	6.108444e-04	1.693853e-01
33            	6.203390e-02	5.686227e-04	1.451223e-01
34            	5.603939e-02	5.296008e-04	1.355296e-01
35            	5.239291e-02	4.945182e-04	1.170806e-01
36            	5.043220e-02	4.618218e-04	1.039587e-01
37            	4.635208e-02	4.323672e-04	9.474160e-02
38            	4.794844e-02	4.049425e-04	8.616159e-02
39            	4.852436e-02	3.801318e-04	7.988883e-02
40            	4.697963e-02	3.577568e-04	7.947716e-02
41            	4.400761e-02	3.369623e-04	8.330682e-02
42            	4.392032e-02	3.180926e-04	7.768309e-02
43            	4.194663e-02	3.005810e-04	7.550967e-02
44            	3.886853e-02	2.844287e-04	7.162376e-02
45            	3.704769e-02	2.697096e-04	6.667824e-02
46            	3.568138e-02	2.561089e-04	6.167776e-02
47            	3.315841e-02	2.437409e-04	5.718565e-02
48            	3.138522e-02	2.325917e-04	5.271860e-02
49            	2.928164e-02	2.224359e-04	4.945760e-02
50            	2.834191e-02	2.131579e-04	4.608431e-02
51            	2.643093e-02	2.046944e-04	4.366972e-02
52            	2.521290e-02	1.970371e-04	4.109280e-02
53            	2.435150e-02	1.901985e-04	4.015166e-02
54            	2.328152e-02	1.840594e-04	3.791105e-02
55            	2.267104e-02	1.787184e-04	3.750768e-02
56            	2.211872e-02	1.741704e-04	3.585649e-02
57            	2.157756e-02	1.698847e-04	3.566454e-02
58            	2.054295e-02	1.657669e-04	3.506704e-02
59            	2.014546e-02	1.617474e-04	3.470442e-02
60            	1.969964e-02	1.578185e-04	3.480167e-02
61            	1.924461e-02	1.539719e-04	3.417773e-02
62            	1.847523e-02	1.502045e-04	3.351158e-02
63            	1.813024e-02	1.465212e-04	3.211862e-02
64            	1.758521e-02	1.429232e-04	3.262075e-02
65            	1.728946e-02	1.394981e-04	3.092096e-02
66            	1.687514e-02	1.361445e-04	3.206109e-02
67            	1.645299e-02	1.328557e-04	2.992881e-02
68            	5.880919e-02	1.296337e-04	3.006105e-02
69            	5.721416e-02	1.262028e-04	1.110784e-01
70            	5.473610e-02	1.229299e-04	1.580191e-01
71            	4.937742e-02	1.197499e-04	1.549279e-01
72            	4.156060e-02	1.166592e-04	1.226957e-01
73            	3.301532e-02	1.136518e-04	9.114532e-02
74            	2.620114e-02	1.107225e-04	7.188303e-02
75            	2.181747e-02	1.078895e-04	5.610444e-02
76            	1.876502e-02	1.051508e-04	4.652100e-02
77            	1.682764e-02	1.024767e-04	3.858597e-02
78            	1.536677e-02	9.986490e-05	3.316787e-02
79            	1.427899e-02	9.731363e-05	3.028439e-02
80            	5.345582e-02	9.482184e-05	2.885572e-02
81            	3.892052e-02	9.256040e-05	6.086690e-02
82            	3.045121e-02	9.031034e-05	7.679923e-02
83            	2.101186e-02	8.810190e-05	6.555868e-02
84            	1.152143e-02	8.593438e-05	4.534019e-02
85            	6.200717e-03	8.380889e-05	3.110161e-02
86            	7.511906e-03	8.172616e-05	2.339038e-02
87            	9.863797e-03	7.968679e-05	2.181127e-02
88            	1.192684e-02	7.769090e-05	2.466780e-02
89            	1.282862e-02	7.573878e-05	2.655773e-02
90            	1.366202e-02	7.383017e-05	2.703066e-02
91            	1.410346e-02	7.196479e-05	2.670144e-02
92            	1.436791e-02	7.014223e-05	2.653015e-02
93            	1.447567e-02	6.836810e-05	2.699263e-02
94            	1.442856e-02	6.664457e-05	2.713028e-02
95            	1.415617e-02	6.496072e-05	2.769169e-02
96            	1.397584e-02	6.331611e-05	2.722333e-02
97            	4.955467e-02	6.171010e-05	2.705433e-02
98            	3.791361e-02	6.029617e-05	5.536535e-02
99            	2.924681e-02	5.888498e-05	6.902096e-02
100           	2.045773e-02	5.749984e-05	5.678344e-02
101           	1.225470e-02	5.614034e-05	3.892894e-02
102           	6.864558e-03	5.480673e-05	2.400524e-02
103           	7.435241e-03	5.349932e-05	1.703552e-02
104           	9.196410e-03	5.221820e-05	1.498660e-02
105           	1.042984e-02	5.096354e-05	1.842562e-02
106           	1.178909e-02	4.973532e-05	2.123857e-02
107           	1.265274e-02	4.853352e-05	2.278807e-02
108           	1.315328e-02	4.735798e-05	2.400215e-02
109           	1.360057e-02	4.620850e-05	2.488285e-02
110           	1.383435e-02	4.508483e-05	2.578703e-02
111           	1.385109e-02	4.398665e-05	2.659133e-02
112           	1.376918e-02	4.291361e-05	2.679372e-02
113           	1.366676e-02	4.186531e-05	2.671737e-02
114           	1.361312e-02	4.084136e-05	2.711014e-02
115           	4.946102e-02	3.984133e-05	2.660742e-02
116           	4.196536e-02	3.902228e-05	5.773365e-02
117           	3.282245e-02	3.818731e-05	7.188393e-02
118           	2.329251e-02	3.736477e-05	5.892701e-02
119           	1.456018e-02	3.655502e-05	4.081516e-02
