y,U_x,U_y,U_z
0,0,0,0
0.00502513,0.0990908,6.71643e-09,0
0.0100503,0.196453,1.39371e-08,0
0.0150754,0.285174,2.36792e-08,0
0.0201005,0.367932,3.28679e-08,0
0.0251256,0.43541,4.06387e-08,0
0.0301508,0.495482,4.70286e-08,0
0.0351759,0.541222,5.07457e-08,0
0.040201,0.582107,5.31475e-08,0
0.0452261,0.613772,5.30509e-08,0
0.0502513,0.642989,5.25952e-08,0
0.0552764,0.666269,5.12679e-08,0
0.0603015,0.688596,4.99754e-08,0
0.0653266,0.70658,4.88411e-08,0
0.0703518,0.724538,4.77118e-08,0
0.0753769,0.738985,4.72604e-08,0
0.080402,0.753433,4.68089e-08,0
0.0854271,0.765963,4.68532e-08,0
0.0904523,0.777929,4.70433e-08,0
0.0954774,0.789034,4.74326e-08,0
0.100503,0.799182,4.80432e-08,0
0.105528,0.809179,4.86739e-08,0
0.110553,0.817946,4.94694e-08,0
0.115578,0.826713,5.02649e-08,0
0.120603,0.83475,5.10656e-08,0
0.125628,0.842436,5.18688e-08,0
0.130653,0.849972,5.26579e-08,0
0.135678,0.856791,5.3379e-08,0
0.140704,0.863609,5.41002e-08,0
0.145729,0.870002,5.47583e-08,0
0.150754,0.876109,5.53741e-08,0
0.155779,0.882215,5.599e-08,0
0.160804,0.887758,5.65109e-08,0
0.165829,0.89327,5.70267e-08,0
0.170854,0.898669,5.75212e-08,0
0.175879,0.903678,5.79423e-08,0
0.180905,0.908687,5.83635e-08,0
0.18593,0.913513,5.87536e-08,0
0.190955,0.918089,5.91017e-08,0
0.19598,0.922666,5.94498e-08,0
0.201005,0.927038,5.97974e-08,0
0.20603,0.931238,6.01446e-08,0
0.211055,0.935438,6.04918e-08,0
0.21608,0.939447,6.09145e-08,0
0.221106,0.943316,6.1393e-08,0
0.226131,0.947185,6.18716e-08,0
0.231156,0.9509,6.24817e-08,0
0.236181,0.954474,6.32113e-08,0
0.241206,0.958049,6.39408e-08,0
0.246231,0.961521,6.47318e-08,0
0.251256,0.964831,6.56203e-08,0
0.256281,0.96814,6.65089e-08,0
0.261307,0.971412,6.73442e-08,0
0.266332,0.97448,6.78946e-08,0
0.271357,0.977548,6.84449e-08,0
0.276382,0.980616,6.89952e-08,0
0.281407,0.983497,6.86513e-08,0
0.286432,0.986341,6.81328e-08,0
0.291457,0.989185,6.76142e-08,0
0.296482,0.991942,6.66152e-08,0
0.301508,0.994576,6.49534e-08,0
0.306533,0.997211,6.32916e-08,0
0.311558,0.999846,6.16297e-08,0
0.316583,1.0023,6.04376e-08,0
0.321608,1.00474,5.92941e-08,0
0.326633,1.00718,5.81507e-08,0
0.331658,1.00956,5.79413e-08,0
0.336683,1.01181,6.00103e-08,0
0.341709,1.01407,6.20793e-08,0
0.346734,1.01632,6.41482e-08,0
0.351759,1.01848,6.73675e-08,0
0.356784,1.02056,7.14481e-08,0
0.361809,1.02265,7.55287e-08,0
0.366834,1.02474,7.96092e-08,0
0.371859,1.02671,8.39218e-08,0
0.376884,1.02865,8.83134e-08,0
0.38191,1.03059,9.27049e-08,0
0.386935,1.03252,9.70965e-08,0
0.39196,1.03435,9.98641e-08,0
0.396985,1.03616,1.02253e-07,0
0.40201,1.03796,1.04642e-07,0
0.407035,1.03976,1.0703e-07,0
0.41206,1.04147,1.06659e-07,0
0.417085,1.04315,1.05427e-07,0
0.422111,1.04483,1.04195e-07,0
0.427136,1.04651,1.02963e-07,0
0.432161,1.04812,1.00906e-07,0
0.437186,1.04969,9.82946e-08,0
0.442211,1.05125,9.56828e-08,0
0.447236,1.05282,9.3071e-08,0
0.452261,1.05435,9.04443e-08,0
0.457286,1.0558,8.77851e-08,0
0.462312,1.05726,8.51258e-08,0
0.467337,1.05871,8.24666e-08,0
0.472362,1.06017,7.98073e-08,0
0.477387,1.06153,7.75771e-08,0
0.482412,1.06288,7.53908e-08,0
0.487437,1.06423,7.32046e-08,0
0.492462,1.06558,7.10183e-08,0
0.497487,1.0669,6.90467e-08,0
0.502513,1.06815,6.7435e-08,0
0.507538,1.06941,6.58233e-08,0
0.512563,1.07066,6.42115e-08,0
0.517588,1.07192,6.25998e-08,0
0.522613,1.07311,6.13423e-08,0
0.527638,1.07427,6.02293e-08,0
0.532663,1.07543,5.91164e-08,0
0.537688,1.07659,5.80034e-08,0
0.542714,1.07775,5.68905e-08,0
0.547739,1.07883,5.61098e-08,0
0.552764,1.07991,5.53609e-08,0
0.557789,1.08098,5.4612e-08,0
0.562814,1.08205,5.38631e-08,0
0.567839,1.08312,5.31142e-08,0
0.572864,1.08411,5.2581e-08,0
0.577889,1.0851,5.20527e-08,0
0.582915,1.08608,5.15243e-08,0
0.58794,1.08707,5.0996e-08,0
0.592965,1.08806,5.04677e-08,0
0.59799,1.08897,5.00289e-08,0
0.603015,1.08988,4.96e-08,0
0.60804,1.09078,4.91711e-08,0
0.613065,1.09168,4.87423e-08,0
0.61809,1.09259,4.83134e-08,0
0.623116,1.09344,4.78892e-08,0
0.628141,1.09427,4.74672e-08,0
0.633166,1.09509,4.70452e-08,0
0.638191,1.09592,4.66232e-08,0
0.643216,1.09674,4.62012e-08,0
0.648241,1.09754,4.57604e-08,0
0.653266,1.09829,4.52768e-08,0
0.658291,1.09904,4.47932e-08,0
0.663317,1.09979,4.43096e-08,0
0.668342,1.10054,4.3826e-08,0
0.673367,1.10129,4.33425e-08,0
0.678392,1.10198,4.27778e-08,0
0.683417,1.10265,4.21904e-08,0
0.688442,1.10332,4.16029e-08,0
0.693467,1.10399,4.10155e-08,0
0.698492,1.10467,4.0428e-08,0
0.703518,1.10533,3.98311e-08,0
0.708543,1.10593,3.91452e-08,0
0.713568,1.10653,3.84593e-08,0
0.718593,1.10713,3.77734e-08,0
0.723618,1.10773,3.70875e-08,0
0.728643,1.10833,3.64016e-08,0
0.733668,1.10891,3.57082e-08,0
0.738693,1.10944,3.49922e-08,0
0.743719,1.10996,3.42762e-08,0
0.748744,1.11049,3.35602e-08,0
0.753769,1.11102,3.28442e-08,0
0.758794,1.11155,3.21281e-08,0
0.763819,1.11206,3.14221e-08,0
0.768844,1.11251,3.07493e-08,0
0.773869,1.11297,3.00764e-08,0
0.778894,1.11343,2.94036e-08,0
0.78392,1.11388,2.87307e-08,0
0.788945,1.11434,2.80579e-08,0
0.79397,1.11479,2.73886e-08,0
0.798995,1.11518,2.67981e-08,0
0.80402,1.11556,2.62076e-08,0
0.809045,1.11595,2.56171e-08,0
0.81407,1.11633,2.50266e-08,0
0.819095,1.11672,2.44361e-08,0
0.824121,1.11711,2.38456e-08,0
0.829146,1.11744,2.32975e-08,0
0.834171,1.11776,2.27698e-08,0
0.839196,1.11807,2.2242e-08,0
0.844221,1.11839,2.17142e-08,0
0.849246,1.1187,2.11864e-08,0
0.854271,1.11902,2.06587e-08,0
0.859296,1.11933,2.01306e-08,0
0.864322,1.11957,1.9601e-08,0
0.869347,1.11982,1.90713e-08,0
0.874372,1.12007,1.85416e-08,0
0.879397,1.12031,1.80119e-08,0
0.884422,1.12056,1.74822e-08,0
0.889447,1.12081,1.69526e-08,0
0.894472,1.12102,1.6386e-08,0
0.899497,1.1212,1.57623e-08,0
0.904523,1.12138,1.51386e-08,0
0.909548,1.12155,1.45149e-08,0
0.914573,1.12173,1.38911e-08,0
0.919598,1.12191,1.32674e-08,0
0.924623,1.12208,1.26437e-08,0
0.929648,1.12223,1.19462e-08,0
0.934673,1.12234,1.11629e-08,0
0.939698,1.12244,1.03795e-08,0
0.944724,1.12255,9.59621e-09,0
0.949749,1.12266,8.81288e-09,0
0.954774,1.12276,8.02954e-09,0
0.959799,1.12287,7.24621e-09,0
0.964824,1.12295,6.41834e-09,0
0.969849,1.12299,5.50144e-09,0
0.974874,1.12302,4.58453e-09,0
0.979899,1.12306,3.66763e-09,0
0.984925,1.12309,2.75072e-09,0
0.98995,1.12313,1.83381e-09,0
0.994975,1.12316,9.16906e-10,0
1,1.1232,0,0
