y,U_x,U_y,U_z,k,nut
0,0,0,0,1.26199e-08,0
0.00502513,0.0198671,3.94572e-09,0,3.12945e-07,2.60051e-11
0.0100503,0.0395724,1.39397e-08,0,2.27798e-06,4.36218e-10
0.0150754,0.059179,3.04217e-08,0,8.64546e-06,3.09764e-09
0.0201005,0.0786864,5.32632e-08,0,2.30839e-05,1.36992e-08
0.0251256,0.0980941,8.22415e-08,0,4.97735e-05,4.48817e-08
0.0301508,0.117402,1.17203e-07,0,9.32371e-05,1.1982e-07
0.0351759,0.13661,1.58011e-07,0,0.000158255,2.76085e-07
0.040201,0.155717,2.04526e-07,0,0.000249802,5.69763e-07
0.0452261,0.174723,2.566e-07,0,0.000372993,1.07997e-06
0.0502513,0.193627,3.14076e-07,0,0.000533014,1.91418e-06
0.0552764,0.212429,3.76793e-07,0,0.000735036,3.21498e-06
0.0603015,0.231127,4.44578e-07,0,0.000984116,5.1689e-06
0.0653266,0.249721,5.17247e-07,0,0.00128506,8.01776e-06
0.0703518,0.268195,5.95108e-07,0,0.00164929,1.22776e-05
0.0753769,0.286556,6.77464e-07,0,0.00207588,1.83636e-05
0.080402,0.304801,7.64042e-07,0,0.00256778,2.69479e-05
0.0854271,0.322922,8.54517e-07,0,0.00312678,3.89301e-05
0.0904523,0.340914,9.48499e-07,0,0.00375336,5.54996e-05
0.0954774,0.358765,1.04552e-06,0,0.00444668,7.81968e-05
0.100503,0.376465,1.14499e-06,0,0.00520453,0.000108956
0.105528,0.393987,1.24626e-06,0,0.00602654,0.000150954
0.110553,0.411269,1.34801e-06,0,0.00691421,0.000211641
0.115578,0.428308,1.44834e-06,0,0.00784745,0.000294493
0.120603,0.445066,1.54515e-06,0,0.00881678,0.000406224
0.125628,0.461499,1.63573e-06,0,0.00981208,0.000554478
0.130653,0.477556,1.71682e-06,0,0.0108231,0.000747909
0.135678,0.492965,1.77459e-06,0,0.0118303,0.00102792
0.140704,0.50789,1.81498e-06,0,0.0128203,0.00128463
0.145729,0.522409,1.83993e-06,0,0.0137911,0.00149265
0.150754,0.536588,1.85145e-06,0,0.0147414,0.00164263
0.155779,0.550409,1.85015e-06,0,0.015662,0.00178189
0.160804,0.563953,1.84473e-06,0,0.0165532,0.00192222
0.165829,0.577261,1.83594e-06,0,0.0174167,0.0020633
0.170854,0.590341,1.82397e-06,0,0.0182516,0.00220503
0.175879,0.603065,1.80717e-06,0,0.0190362,0.0023468
