y,U_x,U_y,U_z,k,nut
0,0,0,0,8.71156e-10,0
0.00502513,0.0174302,7.25039e-11,0,2.16026e-08,6.9795e-12
0.0100503,0.0347181,2.44431e-10,0,1.57251e-07,1.17072e-10
0.0150754,0.0519193,5.14997e-10,0,5.96834e-07,8.31383e-10
0.0201005,0.0690333,8.73365e-10,0,1.59358e-06,3.67662e-09
0.0251256,0.08606,1.30727e-09,0,3.43578e-06,1.20425e-08
0.0301508,0.102999,1.80586e-09,0,6.43471e-06,3.21312e-08
0.0351759,0.119851,2.35874e-09,0,1.09181e-05,7.39517e-08
0.040201,0.136615,2.9555e-09,0,1.72252e-05,1.52303e-07
0.0452261,0.153291,3.58564e-09,0,2.57016e-05,2.87674e-07
0.0502513,0.169878,4.23855e-09,0,3.66945e-05,5.06987e-07
0.0552764,0.186376,4.90342e-09,0,5.05472e-05,8.4409e-07
0.0603015,0.202783,5.56916e-09,0,6.75933e-05,1.33993e-06
0.0653266,0.2191,6.22434e-09,0,8.81504e-05,2.0423e-06
0.0703518,0.235313,6.85276e-09,0,0.000112991,3.0444e-06
0.0753769,0.25143,7.44194e-09,0,0.000142068,4.39411e-06
0.080402,0.267448,7.978e-09,0,0.000175618,6.16289e-06
0.0854271,0.283364,8.44686e-09,0,0.000213834,8.42425e-06
0.0904523,0.299175,8.8347e-09,0,0.000256852,1.12508e-05
0.0954774,0.314878,9.1285e-09,0,0.000304751,1.47118e-05
0.100503,0.33047,9.31656e-09,0,0.000357556,1.88706e-05
0.105528,0.345941,9.38174e-09,0,0.000415502,2.38296e-05
0.110553,0.361265,9.29316e-09,0,0.000479249,2.97932e-05
0.115578,0.376461,9.07255e-09,0,0.000547653,3.66461e-05
0.120603,0.391525,8.7246e-09,0,0.000620457,4.44045e-05
0.125628,0.406454,8.25867e-09,0,0.000697376,5.30718e-05
0.130653,0.421245,7.68648e-09,0,0.000778144,6.26506e-05
0.135678,0.435838,7.01354e-09,0,0.000863501,7.34488e-05
