# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
1             	9.999964e-01	0.000000e+00	0.000000e+00
2             	1.000000e+00	8.982363e-01	9.999999e-01
3             	2.205693e-01	2.625805e-01	3.242335e-01
4             	2.298750e-01	3.364687e-02	1.183059e-01
5             	2.690497e-01	2.108984e-02	9.706275e-02
6             	3.350514e-01	1.750825e-02	9.026603e-02
7             	3.224463e-01	1.541152e-02	3.947659e-02
8             	5.919046e-02	1.362799e-02	4.581680e-02
9             	1.078131e-01	1.219582e-02	4.946206e-02
10            	1.824454e-01	1.099860e-02	5.302876e-02
11            	2.354133e-01	1.024200e-02	5.167187e-02
12            	1.531894e-01	9.568622e-03	4.866090e-02
13            	7.798548e-02	9.116364e-03	4.416295e-02
14            	7.438085e-02	8.677929e-03	4.127412e-02
15            	7.979319e-02	8.318696e-03	3.888145e-02
16            	8.128307e-02	8.007448e-03	3.333646e-02
17            	8.237958e-02	7.660017e-03	3.162910e-02
18            	7.360321e-02	7.320855e-03	3.086512e-02
19            	7.621555e-02	6.975680e-03	3.171739e-02
20            	7.415633e-02	6.680068e-03	3.012519e-02
21            	7.106569e-02	6.409570e-03	2.936728e-02
22            	7.553213e-02	6.147351e-03	2.971536e-02
23            	7.940030e-02	5.884871e-03	2.890551e-02
24            	7.470362e-02	5.643442e-03	2.790805e-02
25            	6.544863e-02	5.459764e-03	2.787232e-02
26            	7.217842e-02	5.220108e-03	2.860846e-02
27            	7.164664e-02	5.036018e-03	2.625213e-02
28            	6.767731e-02	4.859411e-03	2.615806e-02
29            	6.334559e-02	4.706404e-03	2.646946e-02
30            	6.698223e-02	4.554174e-03	2.706890e-02
31            	6.107320e-02	4.369780e-03	2.737964e-02
32            	5.932055e-02	4.239109e-03	2.689340e-02
33            	6.588280e-02	4.109110e-03	2.700213e-02
34            	6.459784e-02	3.975319e-03	2.706388e-02
35            	5.975364e-02	3.864700e-03	2.776737e-02
36            	5.850889e-02	3.733456e-03	2.848796e-02
37            	5.745606e-02	3.622348e-03	2.836668e-02
38            	5.400703e-02	3.530790e-03	2.818633e-02
39            	5.610923e-02	3.433881e-03	2.837743e-02
40            	5.746518e-02	3.334463e-03	2.858167e-02
41            	5.129770e-02	3.234291e-03	2.873466e-02
42            	4.662883e-02	3.132650e-03	2.846974e-02
43            	4.423976e-02	3.042062e-03	2.814070e-02
44            	4.460412e-02	2.952026e-03	2.796609e-02
45            	4.669252e-02	2.891137e-03	2.818020e-02
