# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
1             	9.999848e-01	0.000000e+00	0.000000e+00
2             	1.000000e+00	3.852096e-01	1.000000e+00
3             	1.877761e-01	5.414861e-02	3.225661e-01
4             	1.541279e-01	2.458447e-02	1.770969e-01
5             	1.675524e-01	1.692043e-02	3.598690e-01
6             	1.912488e-01	1.316791e-02	3.633838e-01
7             	1.970055e-01	1.054450e-02	2.216975e-01
8             	1.617808e-01	8.700722e-03	1.735167e-01
9             	1.453970e-01	7.316547e-03	2.077278e-01
10            	1.240288e-01	6.219234e-03	2.752715e-01
11            	1.083407e-01	5.333701e-03	3.497787e-01
12            	1.059800e-01	4.621333e-03	3.925892e-01
13            	1.090414e-01	4.038508e-03	3.677257e-01
14            	1.206977e-01	3.539158e-03	3.843090e-01
15            	1.274234e-01	3.121489e-03	3.626002e-01
16            	1.343759e-01	2.757773e-03	3.069211e-01
17            	1.368345e-01	2.447974e-03	2.678240e-01
18            	1.345727e-01	2.180288e-03	2.185926e-01
19            	1.327108e-01	1.950480e-03	1.737259e-01
20            	1.355363e-01	1.748739e-03	1.580581e-01
21            	1.399905e-01	1.572604e-03	1.549070e-01
22            	1.342729e-01	1.420096e-03	1.577419e-01
23            	1.254537e-01	1.284711e-03	1.623289e-01
24            	1.235680e-01	1.169788e-03	1.729974e-01
25            	1.147019e-01	1.069142e-03	1.833009e-01
26            	1.060144e-01	9.821388e-04	1.823935e-01
27            	9.850117e-02	9.043594e-04	1.734682e-01
28            	8.673086e-02	8.339727e-04	1.598271e-01
29            	7.747907e-02	7.704211e-04	1.619688e-01
30            	6.484596e-02	7.125675e-04	1.581912e-01
31            	5.897409e-02	6.606273e-04	1.457600e-01
32            	5.637236e-02	6.140774e-04	1.292223e-01
33            	5.313479e-02	5.716458e-04	1.109724e-01
34            	5.204337e-02	5.329082e-04	9.447738e-02
35            	5.166474e-02	4.973579e-04	8.473632e-02
36            	5.083924e-02	4.650698e-04	8.303817e-02
37            	4.910631e-02	4.350412e-04	8.119820e-02
38            	4.816845e-02	4.080017e-04	8.197181e-02
39            	4.656974e-02	3.834374e-04	8.217001e-02
40            	4.499330e-02	3.609894e-04	8.142354e-02
41            	4.197776e-02	3.404456e-04	7.752583e-02
42            	3.956933e-02	3.213736e-04	7.389995e-02
43            	3.645554e-02	3.039401e-04	6.804267e-02
44            	3.279180e-02	2.879608e-04	6.154812e-02
45            	3.113037e-02	2.732205e-04	5.616657e-02
46            	2.902412e-02	2.597485e-04	5.198090e-02
47            	2.751271e-02	2.477552e-04	4.765343e-02
48            	2.610714e-02	2.367998e-04	4.414550e-02
49            	2.505318e-02	2.267882e-04	4.171805e-02
50            	2.417310e-02	2.176878e-04	3.951764e-02
51            	2.329909e-02	2.094559e-04	3.746975e-02
52            	2.266377e-02	2.021002e-04	3.613560e-02
53            	2.220976e-02	1.955205e-04	3.498943e-02
54            	2.143364e-02	1.897759e-04	3.438341e-02
55            	2.103895e-02	1.848988e-04	3.392477e-02
56            	2.050580e-02	1.802821e-04	3.273693e-02
57            	2.025744e-02	1.758492e-04	3.227148e-02
58            	1.987014e-02	1.715242e-04	3.056464e-02
59            	1.946221e-02	1.672937e-04	3.140169e-02
60            	1.898044e-02	1.631574e-04	3.058695e-02
61            	1.878453e-02	1.591125e-04	3.082270e-02
62            	1.811525e-02	1.551587e-04	2.934047e-02
63            	1.777495e-02	1.512981e-04	3.001098e-02
64            	1.725855e-02	1.476224e-04	2.845936e-02
65            	1.693675e-02	1.440240e-04	2.814959e-02
66            	1.660674e-02	1.404991e-04	2.765710e-02
67            	1.627329e-02	1.370473e-04	2.716476e-02
68            	1.596267e-02	1.336683e-04	2.666855e-02
69            	1.571192e-02	1.303616e-04	2.627323e-02
70            	1.542407e-02	1.271258e-04	2.586366e-02
71            	6.330034e-02	1.239600e-04	2.560769e-02
72            	5.891895e-02	1.206030e-04	9.316734e-02
73            	5.456172e-02	1.174018e-04	1.322788e-01
74            	4.844885e-02	1.143289e-04	1.377313e-01
75            	4.172363e-02	1.113607e-04	1.167643e-01
76            	3.363101e-02	1.084697e-04	8.642665e-02
77            	2.644115e-02	1.056522e-04	6.402356e-02
78            	2.137091e-02	1.029054e-04	5.247604e-02
79            	1.768003e-02	1.002267e-04	4.257694e-02
80            	5.983268e-02	9.761408e-05	3.517637e-02
81            	4.572623e-02	9.524408e-05	6.289170e-02
82            	3.438983e-02	9.288776e-05	7.391959e-02
83            	2.328792e-02	9.057745e-05	6.245048e-02
84            	1.327210e-02	8.831199e-05	4.737376e-02
85            	6.916416e-03	8.609234e-05	3.023573e-02
86            	7.848033e-03	8.391904e-05	2.404117e-02
87            	1.049922e-02	8.179249e-05	2.054286e-02
88            	1.263015e-02	7.971276e-05	2.270312e-02
89            	1.384960e-02	7.767984e-05	2.436810e-02
90            	1.428462e-02	7.569344e-05	2.500816e-02
91            	1.408347e-02	7.375442e-05	2.462499e-02
92            	1.428830e-02	7.187503e-05	2.466399e-02
93            	1.444329e-02	7.004039e-05	2.449133e-02
94            	1.448854e-02	6.824864e-05	2.471707e-02
95            	1.445473e-02	6.649915e-05	2.489817e-02
96            	1.429008e-02	6.479127e-05	2.529958e-02
97            	1.447740e-02	6.312430e-05	2.494820e-02
98            	5.592754e-02	6.149752e-05	2.466337e-02
99            	4.357394e-02	6.006504e-05	4.934861e-02
100           	3.185670e-02	5.863615e-05	6.291727e-02
101           	2.134333e-02	5.723455e-05	5.285289e-02
102           	1.230068e-02	5.585964e-05	3.610797e-02
103           	8.924065e-03	5.451168e-05	2.080352e-02
104           	9.413516e-03	5.319085e-05	1.518813e-02
105           	1.074393e-02	5.189732e-05	1.391726e-02
106           	1.224276e-02	5.063118e-05	1.707091e-02
107           	1.328812e-02	4.939237e-05	1.944574e-02
108           	1.355191e-02	4.818084e-05	2.104703e-02
109           	1.383212e-02	4.699639e-05	2.244346e-02
110           	1.401681e-02	4.583879e-05	2.362117e-02
111           	1.446335e-02	4.470775e-05	2.452794e-02
112           	1.438231e-02	4.360291e-05	2.529559e-02
113           	1.426860e-02	4.252384e-05	2.511892e-02
114           	1.386843e-02	4.147018e-05	2.519655e-02
115           	1.398952e-02	4.044144e-05	2.501472e-02
116           	5.306923e-02	3.943719e-05	2.455548e-02
117           	4.579251e-02	3.861423e-05	4.923150e-02
118           	3.449048e-02	3.777572e-05	6.249989e-02
119           	2.299057e-02	3.695011e-05	5.227403e-02
120           	1.423055e-02	3.613760e-05	3.728979e-02
121           	9.473136e-03	3.533881e-05	2.301499e-02
122           	9.288577e-03	3.455400e-05	1.372464e-02
123           	1.047701e-02	3.378332e-05	1.067749e-02
124           	1.171154e-02	3.302702e-05	1.299253e-02
125           	1.260234e-02	3.228519e-05	1.617153e-02
126           	1.309389e-02	3.155791e-05	1.852740e-02
127           	1.323991e-02	3.084521e-05	1.992880e-02
128           	1.321089e-02	3.014707e-05	2.088712e-02
129           	1.342023e-02	2.946341e-05	2.140875e-02
130           	1.351651e-02	2.879413e-05	2.260315e-02
131           	1.345916e-02	2.813912e-05	2.256314e-02
132           	1.322833e-02	2.749819e-05	2.261069e-02
133           	1.301565e-02	2.687114e-05	2.248211e-02
134           	1.280722e-02	2.625777e-05	2.233023e-02
135           	4.243699e-02	2.565787e-05	2.209626e-02
136           	4.139107e-02	2.524056e-05	4.371196e-02
137           	3.379079e-02	2.478564e-05	5.679976e-02
138           	2.348392e-02	2.433358e-05	4.988387e-02
139           	1.567370e-02	2.388582e-05	3.673113e-02
140           	1.044197e-02	2.344326e-05	2.371788e-02
141           	8.519741e-03	2.300630e-05	1.231097e-02
142           	9.547869e-03	2.257512e-05	9.238633e-03
