y,U_x,U_y,U_z
0,0,0,0
0.00502513,0.145061,1.93641e-09,0
0.0100503,0.283159,3.69034e-09,0
0.0150754,0.386444,4.53183e-09,0
0.0201005,0.477417,5.34948e-09,0
0.0251256,0.53684,6.10606e-09,0
0.0301508,0.588103,7.1189e-09,0
0.0351759,0.623573,8.62775e-09,0
0.040201,0.655111,1.01897e-08,0
0.0452261,0.679179,1.18524e-08,0
0.0502513,0.701442,1.342e-08,0
0.0552764,0.719325,1.47566e-08,0
0.0603015,0.736529,1.59635e-08,0
0.0653266,0.750636,1.65794e-08,0
0.0703518,0.764724,1.71884e-08,0
0.0753769,0.776292,1.68684e-08,0
0.080402,0.78786,1.65484e-08,0
0.0854271,0.798021,1.59422e-08,0
0.0904523,0.807767,1.52516e-08,0
0.0954774,0.816866,1.45268e-08,0
0.100503,0.825247,1.3764e-08,0
0.105528,0.833512,1.3008e-08,0
0.110553,0.840832,1.23082e-08,0
0.115578,0.848152,1.16083e-08,0
0.120603,0.8549,1.09387e-08,0
0.125628,0.861373,1.02834e-08,0
0.130653,0.867727,9.62767e-09,0
0.135678,0.87351,8.96934e-09,0
0.140704,0.879293,8.31102e-09,0
0.145729,0.884732,7.62107e-09,0
0.150754,0.88994,6.90993e-09,0
0.155779,0.895148,6.19879e-09,0
0.160804,0.899895,5.46652e-09,0
0.165829,0.904617,4.73313e-09,0
0.170854,0.909246,4.03692e-09,0
0.175879,0.913553,3.46798e-09,0
0.180905,0.917859,2.89903e-09,0
0.18593,0.922013,2.55114e-09,0
0.190955,0.92596,2.50413e-09,0
0.19598,0.929906,2.45712e-09,0
0.201005,0.933682,2.66698e-09,0
0.20603,0.937313,3.09511e-09,0
0.211055,0.940944,3.52325e-09,0
0.21608,0.944416,4.05419e-09,0
0.221106,0.947769,4.66114e-09,0
0.226131,0.951123,5.26808e-09,0
0.231156,0.954348,5.75018e-09,0
0.236181,0.957457,6.11895e-09,0
0.241206,0.960565,6.48771e-09,0
0.246231,0.963587,6.62122e-09,0
0.251256,0.966474,6.38033e-09,0
0.256281,0.969361,6.13944e-09,0
0.261307,0.972216,5.83106e-09,0
0.266332,0.974899,5.16176e-09,0
0.271357,0.977582,4.49246e-09,0
0.276382,0.980265,3.82315e-09,0
0.281407,0.98279,3.18123e-09,0
0.286432,0.985284,2.54466e-09,0
0.291457,0.987779,1.90808e-09,0
0.296482,0.990199,1.3907e-09,0
0.301508,0.992518,1.03777e-09,0
0.306533,0.994837,6.84828e-10,0
0.311558,0.997157,3.3189e-10,0
0.316583,0.999331,2.5535e-10,0
0.321608,1.00149,2.07515e-10,0
0.326633,1.00365,1.5968e-10,0
0.331658,1.00577,1.43983e-10,0
0.336683,1.00778,2.06687e-10,0
0.341709,1.00979,2.69391e-10,0
0.346734,1.0118,3.32095e-10,0
0.351759,1.01374,2.79427e-10,0
0.356784,1.01562,1.40374e-10,0
0.361809,1.0175,1.32049e-12,0
0.366834,1.01937,-1.37733e-10,0
0.371859,1.02116,-4.31106e-10,0
0.376884,1.02291,-7.76965e-10,0
0.38191,1.02466,-1.12282e-09,0
0.386935,1.02642,-1.46868e-09,0
0.39196,1.02808,-1.83149e-09,0
0.396985,1.02971,-2.19824e-09,0
0.40201,1.03135,-2.565e-09,0
0.407035,1.03298,-2.93175e-09,0
0.41206,1.03453,-3.24084e-09,0
0.417085,1.03606,-3.53195e-09,0
0.422111,1.03758,-3.82306e-09,0
0.427136,1.0391,-4.11418e-09,0
0.432161,1.04056,-4.41582e-09,0
0.437186,1.04198,-4.72453e-09,0
0.442211,1.0434,-5.03324e-09,0
0.447236,1.04482,-5.34195e-09,0
0.452261,1.04621,-5.6438e-09,0
0.457286,1.04753,-5.93064e-09,0
0.462312,1.04885,-6.21748e-09,0
0.467337,1.05018,-6.50433e-09,0
0.472362,1.0515,-6.79117e-09,0
0.477387,1.05273,-7.04949e-09,0
0.482412,1.05396,-7.30489e-09,0
0.487437,1.05519,-7.56029e-09,0
0.492462,1.05642,-7.81569e-09,0
0.497487,1.05761,-8.02809e-09,0
0.502513,1.05875,-8.16841e-09,0
0.507538,1.05989,-8.30872e-09,0
0.512563,1.06102,-8.44903e-09,0
0.517588,1.06216,-8.58935e-09,0
0.522613,1.06324,-8.52813e-09,0
0.527638,1.06429,-8.38464e-09,0
0.532663,1.06535,-8.24115e-09,0
0.537688,1.0664,-8.09766e-09,0
0.542714,1.06745,-7.95417e-09,0
0.547739,1.06843,-7.58796e-09,0
0.552764,1.0694,-7.20046e-09,0
0.557789,1.07038,-6.81296e-09,0
0.562814,1.07135,-6.42546e-09,0
0.567839,1.07232,-6.03796e-09,0
0.572864,1.07321,-5.53035e-09,0
0.577889,1.0741,-5.02001e-09,0
0.582915,1.07499,-4.50966e-09,0
0.58794,1.07589,-3.99932e-09,0
0.592965,1.07678,-3.48898e-09,0
0.59799,1.0776,-3.03248e-09,0
0.603015,1.07842,-2.58188e-09,0
0.60804,1.07923,-2.13128e-09,0
0.613065,1.08005,-1.68068e-09,0
0.61809,1.08086,-1.23008e-09,0
0.623116,1.08163,-8.31335e-10,0
0.628141,1.08237,-4.57112e-10,0
0.633166,1.08311,-8.28884e-11,0
