y,U_x,U_y,U_z,k,nut,omega,p
0.613065,1.0997,-2.21073e-08,0,0.00465177,0.00710903,0.654863,2.05164e-07
0.61809,1.10061,-2.25639e-08,0,0.00462056,0.00714767,0.646794,1.98219e-07
0.623116,1.10147,-2.30456e-08,0,0.00459067,0.00718492,0.639324,1.92019e-07
0.628141,1.10229,-2.35393e-08,0,0.00456142,0.00722151,0.632137,1.86172e-07
0.633166,1.10312,-2.4033e-08,0,0.00453216,0.0072581,0.624951,1.80325e-07
0.638191,1.10394,-2.45266e-08,0,0.0045029,0.00729468,0.617765,1.74478e-07
0.643216,1.10477,-2.50203e-08,0,0.00447365,0.00733127,0.610578,1.68631e-07
0.648241,1.10557,-2.54519e-08,0,0.00444502,0.0073672,0.603641,1.63248e-07
0.653266,1.10632,-2.57436e-08,0,0.00441782,0.00740166,0.597268,1.58916e-07
0.658291,1.10706,-2.60352e-08,0,0.00439063,0.00743611,0.590894,1.54585e-07
0.663317,1.10781,-2.63268e-08,0,0.00436343,0.00747056,0.584521,1.50253e-07
0.668342,1.10855,-2.66184e-08,0,0.00433623,0.00750501,0.578147,1.45921e-07
0.673367,1.1093,-2.69101e-08,0,0.00430903,0.00753947,0.571773,1.41589e-07
0.678392,1.10998,-2.6926e-08,0,0.00428352,0.00757224,0.565983,1.38483e-07
0.683417,1.11065,-2.68644e-08,0,0.00425849,0.00760455,0.560357,1.35722e-07
0.688442,1.11132,-2.68029e-08,0,0.00423346,0.00763685,0.554731,1.32961e-07
0.693467,1.11198,-2.67413e-08,0,0.00420842,0.00766916,0.549105,1.30199e-07
0.698492,1.11265,-2.66797e-08,0,0.00418339,0.00770146,0.543478,1.27438e-07
0.703518,1.11331,-2.65771e-08,0,0.00415857,0.00773355,0.537919,1.24763e-07
0.708543,1.1139,-2.60868e-08,0,0.00413581,0.00776363,0.532987,1.22905e-07
0.713568,1.11449,-2.55965e-08,0,0.00411304,0.00779371,0.528055,1.21047e-07
0.718593,1.11509,-2.51062e-08,0,0.00409027,0.00782379,0.523123,1.19189e-07
0.723618,1.11568,-2.46159e-08,0,0.00406751,0.00785387,0.518191,1.17332e-07
0.728643,1.11627,-2.41256e-08,0,0.00404474,0.00788395,0.513259,1.15474e-07
0.733668,1.11684,-2.35296e-08,0,0.00402256,0.00791342,0.50849,1.13698e-07
0.738693,1.11736,-2.26126e-08,0,0.00400216,0.00794104,0.504215,1.12171e-07
0.743719,1.11788,-2.16956e-08,0,0.00398176,0.00796866,0.499941,1.10643e-07
0.748744,1.1184,-2.07786e-08,0,0.00396136,0.00799629,0.495666,1.09116e-07
0.753769,1.11891,-1.98615e-08,0,0.00394096,0.00802391,0.491391,1.07589e-07
0.758794,1.11943,-1.89445e-08,0,0.00392056,0.00805153,0.487117,1.06062e-07
0.763819,1.11993,-1.80096e-08,0,0.00390073,0.00807853,0.482987,1.04574e-07
0.768844,1.12038,-1.70155e-08,0,0.00388279,0.00810345,0.479337,1.03217e-07
0.773869,1.12083,-1.60214e-08,0,0.00386485,0.00812836,0.475686,1.01859e-07
0.778894,1.12127,-1.50272e-08,0,0.00384691,0.00815328,0.472036,1.00501e-07
0.78392,1.12172,-1.40331e-08,0,0.00382896,0.0081782,0.468386,9.91432e-08
0.788945,1.12217,-1.30389e-08,0,0.00381102,0.00820311,0.464736,9.77854e-08
0.79397,1.12261,-1.20468e-08,0,0.00379319,0.0082279,0.461112,9.64289e-08
0.798995,1.12299,-1.10979e-08,0,0.00377779,0.00824983,0.458059,9.51018e-08
0.80402,1.12336,-1.0149e-08,0,0.0037624,0.00827175,0.455006,9.37747e-08
0.809045,1.12374,-9.20019e-09,0,0.003747,0.00829368,0.451954,9.24476e-08
0.81407,1.12411,-8.25133e-09,0,0.0037316,0.00831561,0.448901,9.11206e-08
0.819095,1.12449,-7.30247e-09,0,0.00371621,0.00833753,0.445849,8.97935e-08
0.824121,1.12487,-6.35361e-09,0,0.00370081,0.00835946,0.442796,8.84664e-08
0.829146,1.1252,-5.54017e-09,0,0.00368719,0.00837917,0.440132,8.70161e-08
0.834171,1.1255,-4.79122e-09,0,0.00367442,0.00839783,0.437654,8.55073e-08
0.839196,1.12581,-4.04227e-09,0,0.00366165,0.00841648,0.435176,8.39984e-08
0.844221,1.12612,-3.29332e-09,0,0.00364888,0.00843514,0.432697,8.24895e-08
0.849246,1.12642,-2.54438e-09,0,0.00363612,0.0084538,0.430219,8.09807e-08
0.854271,1.12673,-1.79543e-09,0,0.00362335,0.00847246,0.42774,7.94718e-08
0.859296,1.12703,-1.08094e-09,0,0.00361093,0.00849064,0.425335,7.794e-08
0.864322,1.12727,-5.99752e-10,0,0.00360086,0.00850558,0.42342,7.62527e-08
0.869347,1.12751,-1.18568e-10,0,0.0035908,0.00852053,0.421505,7.45653e-08
0.874372,1.12775,3.62616e-10,0,0.00358074,0.00853547,0.41959,7.2878e-08
0.879397,1.12799,8.438e-10,0,0.00357068,0.00855041,0.417676,7.11907e-08
0.884422,1.12823,1.32498e-09,0,0.00356062,0.00856536,0.415761,6.95034e-08
0.889447,1.12846,1.80617e-09,0,0.00355055,0.0085803,0.413846,6.78161e-08
0.894472,1.12868,2.18167e-09,0,0.00354158,0.00859364,0.41215,6.61947e-08
0.899497,1.12885,2.39329e-09,0,0.00353431,0.00860447,0.410792,6.46752e-08
0.904523,1.12902,2.60491e-09,0,0.00352703,0.00861531,0.409434,6.31558e-08
0.909548,1.12919,2.81653e-09,0,0.00351975,0.00862614,0.408076,6.16364e-08
0.914573,1.12936,3.02816e-09,0,0.00351248,0.00863697,0.406718,6.0117e-08
0.919598,1.12953,3.23978e-09,0,0.0035052,0.00864781,0.40536,5.85976e-08
0.924623,1.1297,3.4514e-09,0,0.00349792,0.00865864,0.404001,5.70782e-08
0.929648,1.12984,3.50953e-09,0,0.00349197,0.00866746,0.402898,5.57652e-08
0.934673,1.12995,3.38902e-09,0,0.00348756,0.00867394,0.40209,5.46925e-08
0.939698,1.13005,3.26851e-09,0,0.00348314,0.00868042,0.401282,5.36198e-08
0.944724,1.13015,3.148e-09,0,0.00347873,0.00868689,0.400474,5.25471e-08
0.949749,1.13026,3.02749e-09,0,0.00347432,0.00869337,0.399666,5.14744e-08
0.954774,1.13036,2.90698e-09,0,0.0034699,0.00869984,0.398858,5.04017e-08
0.959799,1.13046,2.78647e-09,0,0.00346549,0.00870632,0.39805,4.9329e-08
0.964824,1.13054,2.58312e-09,0,0.00346205,0.00871134,0.397423,4.8478e-08
0.969849,1.13058,2.21411e-09,0,0.00346058,0.00871343,0.397159,4.80705e-08
0.974874,1.13061,1.84509e-09,0,0.00345911,0.00871553,0.396894,4.7663e-08
0.979899,1.13064,1.47607e-09,0,0.00345764,0.00871762,0.39663,4.72555e-08
0.984925,1.13068,1.10705e-09,0,0.00345617,0.00871972,0.396365,4.6848e-08
0.98995,1.13071,7.38035e-10,0,0.0034547,0.00872182,0.396101,4.64405e-08
0.994975,1.13075,3.69018e-10,0,0.00345323,0.00872391,0.395836,4.6033e-08
1,1.13078,0,0,0.00345176,0.00872601,0.395572,4.56255e-08
