# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
1             	9.999906e-01	0.000000e+00	0.000000e+00
2             	1.000000e+00	1.682711e-01	1.000000e+00
3             	1.094569e-01	1.291099e-01	6.940696e-01
4             	3.895104e-02	7.470725e-02	5.341226e-01
5             	5.599400e-02	4.754693e-02	6.215931e-01
6             	1.003780e-01	3.565944e-02	4.659949e-01
7             	8.015678e-02	2.731356e-02	5.091867e-01
8             	5.052461e-02	2.116298e-02	4.959446e-01
9             	3.547427e-02	1.733277e-02	4.848531e-01
10            	2.921810e-02	1.449180e-02	5.335046e-01
11            	2.994641e-02	1.245263e-02	6.672461e-01
12            	3.453853e-02	1.091826e-02	7.247718e-01
13            	4.383156e-02	9.863864e-03	5.671263e-01
14            	6.116378e-02	9.073184e-03	4.201989e-01
15            	4.955170e-02	8.398503e-03	3.763706e-01
16            	3.675990e-02	8.193153e-03	3.460067e-01
17            	3.081439e-02	8.037225e-03	3.758436e-01
18            	2.980780e-02	7.906227e-03	4.309812e-01
19            	3.027177e-02	7.817201e-03	5.117409e-01
20            	3.020721e-02	7.734797e-03	5.818952e-01
21            	3.061389e-02	7.636700e-03	6.320506e-01
22            	3.087743e-02	7.559651e-03	6.332938e-01
23            	2.872863e-02	7.474256e-03	6.222069e-01
24            	2.814980e-02	7.374288e-03	5.615681e-01
25            	2.695745e-02	7.278528e-03	4.915915e-01
26            	2.512341e-02	7.177021e-03	3.963542e-01
27            	2.414816e-02	7.079045e-03	3.303505e-01
28            	2.344803e-02	7.006089e-03	2.927760e-01
29            	2.307925e-02	6.918426e-03	2.786518e-01
30            	2.322045e-02	6.824403e-03	2.815720e-01
31            	2.398657e-02	6.741328e-03	3.197349e-01
32            	2.580910e-02	6.681368e-03	3.606333e-01
33            	3.026632e-02	6.609853e-03	3.840611e-01
34            	3.926098e-02	6.547522e-03	3.674720e-01
35            	5.311907e-02	6.485612e-03	3.399877e-01
36            	4.217045e-02	6.433959e-03	3.156407e-01
37            	3.230585e-02	6.376464e-03	3.141419e-01
38            	2.837098e-02	6.324451e-03	3.069970e-01
39            	2.594387e-02	6.267491e-03	2.813488e-01
40            	2.453869e-02	6.223874e-03	2.509257e-01
41            	2.356922e-02	6.182849e-03	2.346153e-01
42            	2.294310e-02	6.134874e-03	2.135896e-01
43            	2.363602e-02	6.092447e-03	1.817634e-01
44            	2.420711e-02	6.056172e-03	1.753055e-01
45            	2.443162e-02	6.032687e-03	1.551884e-01
46            	2.334351e-02	6.003515e-03	1.363315e-01
47            	2.410281e-02	5.972774e-03	1.193257e-01
48            	2.624236e-02	5.947039e-03	1.026040e-01
49            	3.117454e-02	5.920235e-03	9.661553e-02
50            	3.359384e-02	5.893793e-03	9.899033e-02
51            	3.561524e-02	5.871589e-03	9.679048e-02
52            	3.699436e-02	5.844925e-03	9.200318e-02
53            	3.790370e-02	5.829689e-03	9.619301e-02
54            	3.700286e-02	5.807075e-03	8.113273e-02
55            	3.923681e-02	5.793385e-03	7.725585e-02
56            	3.906501e-02	5.770277e-03	6.487566e-02
57            	4.528115e-02	5.752622e-03	9.266296e-02
58            	4.119185e-02	5.737012e-03	5.775387e-02
59            	3.935710e-02	5.716298e-03	6.596258e-02
60            	3.910882e-02	5.695759e-03	6.604768e-02
61            	3.850141e-02	5.681776e-03	6.489309e-02
62            	3.497623e-02	5.667593e-03	5.112990e-02
63            	3.428552e-02	5.647028e-03	4.876095e-02
64            	3.037960e-02	5.630288e-03	4.752636e-02
65            	2.981677e-02	5.610472e-03	4.775670e-02
66            	3.927557e-02	5.587505e-03	6.836462e-02
67            	3.321289e-02	5.573109e-03	4.915615e-02
68            	2.442577e-02	5.552533e-03	5.992117e-02
69            	2.082430e-02	5.531544e-03	4.305508e-02
70            	3.245451e-02	5.511258e-03	5.387086e-02
71            	2.737778e-02	5.492965e-03	4.100694e-02
72            	2.663075e-02	5.470604e-03	5.061935e-02
73            	3.256569e-02	5.446545e-03	4.793647e-02
74            	3.291137e-02	5.423674e-03	6.342921e-02
75            	2.475958e-02	5.399350e-03	5.021122e-02
76            	3.033959e-02	5.370871e-03	6.204647e-02
77            	1.926150e-02	5.337154e-03	4.556223e-02
78            	2.851643e-02	5.307230e-03	5.080753e-02
79            	2.289728e-02	5.276324e-03	5.342011e-02
80            	2.868928e-02	5.247550e-03	5.103492e-02
81            	1.511459e-02	5.208853e-03	3.833531e-02
82            	1.720848e-02	5.167634e-03	3.695808e-02
83            	2.367485e-02	5.127291e-03	4.205893e-02
84            	2.034166e-02	5.091072e-03	3.714373e-02
85            	1.841512e-02	5.009619e-03	5.290947e-02
86            	1.425741e-02	4.915253e-03	3.752254e-02
87            	1.447702e-02	4.844937e-03	3.488857e-02
88            	1.359459e-02	4.760189e-03	3.661034e-02
89            	1.450413e-02	4.692484e-03	3.332324e-02
90            	2.721534e-02	4.629910e-03	7.816686e-02
91            	2.175578e-02	4.563666e-03	6.250221e-02
92            	1.662555e-02	4.492027e-03	6.146944e-02
93            	2.279956e-02	4.439262e-03	4.906324e-02
94            	2.403179e-02	4.378455e-03	3.369367e-02
95            	2.888371e-02	4.311356e-03	4.838031e-02
96            	2.768786e-02	4.250046e-03	7.785988e-02
97            	2.924687e-02	4.186445e-03	4.538003e-02
98            	2.926387e-02	4.127187e-03	4.244178e-02
99            	2.598934e-02	4.063571e-03	4.383731e-02
100           	3.536214e-02	3.999640e-03	4.429322e-02
101           	3.830056e-02	3.940837e-03	5.256948e-02
102           	4.213018e-02	3.870352e-03	4.806848e-02
103           	3.065076e-02	3.810170e-03	3.796737e-02
104           	3.052383e-02	3.753875e-03	4.836952e-02
105           	3.102480e-02	3.688035e-03	7.187255e-02
