y,U_x,U_y,U_z
0,0,0,0
0.00502513,0.0572728,2.04405e-09,0
0.0100503,0.114344,4.30344e-09,0
0.0150754,0.170408,7.63954e-09,0
0.0201005,0.225821,1.07192e-08,0
0.0251256,0.279567,1.31419e-08,0
0.0301508,0.331413,1.45661e-08,0
0.0351759,0.379583,1.40578e-08,0
0.040201,0.424905,1.23152e-08,0
0.0452261,0.464814,8.22841e-09,0
0.0502513,0.502364,3.53449e-09,0
0.0552764,0.534186,-2.63221e-09,0
0.0603015,0.564878,-8.71585e-09,0
0.0653266,0.590415,-1.44211e-08,0
0.0703518,0.615917,-2.01138e-08,0
0.0753769,0.636762,-2.41402e-08,0
0.080402,0.657607,-2.81665e-08,0
0.0854271,0.675697,-3.08182e-08,0
0.0904523,0.692977,-3.30651e-08,0
0.0954774,0.708963,-3.47003e-08,0
0.100503,0.723512,-3.56555e-08,0
0.105528,0.737831,-3.65316e-08,0
0.110553,0.750259,-3.67589e-08,0
0.115578,0.762687,-3.69861e-08,0
0.120603,0.773985,-3.69767e-08,0
0.125628,0.784739,-3.68537e-08,0
0.130653,0.795262,-3.6697e-08,0
0.135678,0.804674,-3.63795e-08,0
0.140704,0.814087,-3.6062e-08,0
0.145729,0.822845,-3.56341e-08,0
0.150754,0.831164,-3.51322e-08,0
0.155779,0.839483,-3.46303e-08,0
0.160804,0.846944,-3.38433e-08,0
0.165829,0.854361,-3.30413e-08,0
0.170854,0.861607,-3.21341e-08,0
0.175879,0.868269,-3.08663e-08,0
0.180905,0.874931,-2.95986e-08,0
0.18593,0.881323,-2.80726e-08,0
0.190955,0.887346,-2.61951e-08,0
0.19598,0.89337,-2.43176e-08,0
0.201005,0.899098,-2.2091e-08,0
0.20603,0.904577,-1.95678e-08,0
0.211055,0.910055,-1.70446e-08,0
0.21608,0.915262,-1.42072e-08,0
0.221106,0.92027,-1.11374e-08,0
0.226131,0.925278,-8.06769e-09,0
0.231156,0.930071,-4.8271e-09,0
0.236181,0.934669,-1.43145e-09,0
0.241206,0.939267,1.9642e-09,0
0.246231,0.943726,5.36825e-09,0
0.251256,0.947964,8.78565e-09,0
0.256281,0.952201,1.22031e-08,0
0.261307,0.956389,1.55874e-08,0
0.266332,0.960307,1.87949e-08,0
0.271357,0.964225,2.20024e-08,0
0.276382,0.968144,2.52099e-08,0
0.281407,0.971822,2.82739e-08,0
0.286432,0.975453,3.13098e-08,0
0.291457,0.979084,3.43457e-08,0
0.296482,0.982605,3.74928e-08,0
0.301508,0.985976,4.07935e-08,0
0.306533,0.989346,4.40941e-08,0
0.311558,0.992716,4.73948e-08,0
0.316583,0.995871,5.15012e-08,0
0.321608,0.999002,5.56914e-08,0
0.326633,1.00213,5.98815e-08,0
0.331658,1.0052,6.43437e-08,0
0.336683,1.00811,6.94696e-08,0
0.341709,1.01103,7.45955e-08,0
0.346734,1.01394,7.97214e-08,0
0.351759,1.01674,8.47146e-08,0
0.356784,1.01945,8.96084e-08,0
0.361809,1.02216,9.45023e-08,0
0.366834,1.02488,9.93961e-08,0
0.371859,1.02746,1.0335e-07,0
0.376884,1.03,1.06985e-07,0
0.38191,1.03254,1.1062e-07,0
0.386935,1.03507,1.14255e-07,0
0.39196,1.03749,1.16446e-07,0
0.396985,1.03987,1.18301e-07,0
0.40201,1.04226,1.20156e-07,0
0.407035,1.04464,1.2201e-07,0
0.41206,1.04692,1.22875e-07,0
0.417085,1.04917,1.23432e-07,0
0.422111,1.05142,1.23988e-07,0
0.427136,1.05366,1.24545e-07,0
0.432161,1.05583,1.25215e-07,0
0.437186,1.05795,1.25961e-07,0
0.442211,1.06006,1.26708e-07,0
0.447236,1.06218,1.27454e-07,0
0.452261,1.06425,1.28319e-07,0
0.457286,1.06624,1.29446e-07,0
0.462312,1.06824,1.30572e-07,0
0.467337,1.07023,1.31699e-07,0
0.472362,1.07222,1.32825e-07,0
0.477387,1.07411,1.34159e-07,0
0.482412,1.07598,1.35515e-07,0
0.487437,1.07786,1.36871e-07,0
0.492462,1.07973,1.38226e-07,0
0.497487,1.08157,1.39618e-07,0
0.502513,1.08333,1.41072e-07,0
0.507538,1.0851,1.42525e-07,0
0.512563,1.08686,1.43978e-07,0
0.517588,1.08863,1.45432e-07,0
0.522613,1.09032,1.46698e-07,0
0.527638,1.09198,1.47887e-07,0
0.532663,1.09364,1.49077e-07,0
0.537688,1.0953,1.50266e-07,0
0.542714,1.09696,1.51456e-07,0
0.547739,1.09852,1.52149e-07,0
0.552764,1.10008,1.52795e-07,0
0.557789,1.10164,1.5344e-07,0
0.562814,1.10319,1.54086e-07,0
0.567839,1.10475,1.54732e-07,0
0.572864,1.10621,1.54186e-07,0
0.577889,1.10767,1.53613e-07,0
0.582915,1.10913,1.53041e-07,0
0.58794,1.11058,1.52468e-07,0
0.592965,1.11204,1.51895e-07,0
0.59799,1.11341,1.50297e-07,0
0.603015,1.11477,1.48586e-07,0
0.60804,1.11613,1.46875e-07,0
0.613065,1.11749,1.45164e-07,0
0.61809,1.11885,1.43453e-07,0
0.623116,1.12014,1.4172e-07,0
0.628141,1.12141,1.39976e-07,0
0.633166,1.12267,1.38232e-07,0
0.638191,1.12393,1.36488e-07,0
0.643216,1.1252,1.34744e-07,0
0.648241,1.12643,1.32951e-07,0
0.653266,1.1276,1.31048e-07,0
0.658291,1.12877,1.29145e-07,0
0.663317,1.12994,1.27242e-07,0
0.668342,1.13111,1.25339e-07,0
0.673367,1.13227,1.23437e-07,0
0.678392,1.13337,1.21014e-07,0
0.683417,1.13444,1.18446e-07,0
0.688442,1.13551,1.15878e-07,0
0.693467,1.13658,1.13309e-07,0
0.698492,1.13766,1.10741e-07,0
0.703518,1.13872,1.08058e-07,0
0.708543,1.13969,1.04294e-07,0
0.713568,1.14067,1.00529e-07,0
0.718593,1.14164,9.67643e-08,0
0.723618,1.14262,9.29995e-08,0
0.728643,1.1436,8.92348e-08,0
0.733668,1.14455,8.53112e-08,0
0.738693,1.14542,8.09047e-08,0
0.743719,1.1463,7.64983e-08,0
0.748744,1.14718,7.20918e-08,0
0.753769,1.14805,6.76854e-08,0
0.758794,1.14893,6.32789e-08,0
0.763819,1.14978,5.91443e-08,0
0.768844,1.15055,5.59102e-08,0
0.773869,1.15133,5.26761e-08,0
0.778894,1.1521,4.9442e-08,0
0.78392,1.15288,4.62078e-08,0
0.788945,1.15365,4.29737e-08,0
0.79397,1.15442,3.9807e-08,0
0.798995,1.15509,3.8126e-08,0
0.80402,1.15576,3.6445e-08,0
0.809045,1.15643,3.4764e-08,0
0.81407,1.1571,3.3083e-08,0
0.819095,1.15776,3.1402e-08,0
0.824121,1.15843,2.9721e-08,0
0.829146,1.15903,2.85794e-08,0
0.834171,1.15959,2.76947e-08,0
0.839196,1.16015,2.681e-08,0
0.844221,1.1607,2.59253e-08,0
0.849246,1.16126,2.50406e-08,0
0.854271,1.16182,2.41559e-08,0
0.859296,1.16236,2.32313e-08,0
0.864322,1.16281,2.20371e-08,0
0.869347,1.16325,2.08428e-08,0
0.874372,1.16369,1.96485e-08,0
0.879397,1.16413,1.84543e-08,0
0.884422,1.16458,1.726e-08,0
0.889447,1.16502,1.60658e-08,0
0.894472,1.16541,1.46973e-08,0
0.899497,1.16574,1.30587e-08,0
0.904523,1.16606,1.14202e-08,0
0.909548,1.16638,9.7816e-09,0
0.914573,1.1667,8.14304e-09,0
0.919598,1.16702,6.50448e-09,0
0.924623,1.16735,4.86592e-09,0
0.929648,1.16761,3.60231e-09,0
0.934673,1.16781,2.77511e-09,0
0.939698,1.168,1.9479e-09,0
0.944724,1.1682,1.1207e-09,0
0.949749,1.16839,2.93491e-10,0
0.954774,1.16859,-5.33715e-10,0
0.959799,1.16878,-1.36092e-09,0
0.964824,1.16894,-1.82544e-09,0
0.969849,1.169,-1.56467e-09,0
0.974874,1.16907,-1.30389e-09,0
