y,U_x,U_y,U_z,k,nut
0,0,0,0,7.12426e-09,0
0.00502513,0.0184817,3.01242e-09,0,1.76672e-07,2.06126e-11
0.0100503,0.0368126,1.07727e-08,0,1.28611e-06,3.45781e-10
0.0150754,0.0550517,2.3717e-08,0,4.88145e-06,2.45561e-09
0.0201005,0.0731989,4.18412e-08,0,1.30346e-05,1.08603e-08
0.0251256,0.0912541,6.50663e-08,0,2.81068e-05,3.55808e-08
0.0301508,0.109217,9.33606e-08,0,5.26536e-05,9.49856e-08
0.0351759,0.127088,1.267e-07,0,8.93764e-05,2.18838e-07
0.040201,0.144867,1.65049e-07,0,0.000141088,4.5149e-07
0.0452261,0.162553,2.0836e-07,0,0.000210681,8.552e-07
0.0502513,0.180146,2.56566e-07,0,0.000301095,1.51363e-06
0.0552764,0.197646,3.09587e-07,0,0.000415279,2.53564e-06
0.0603015,0.215052,3.67322e-07,0,0.000556145,4.05938e-06
0.0653266,0.232361,4.29649e-07,0,0.000726521,6.25683e-06
0.0703518,0.249562,4.96903e-07,0,0.000933161,9.48176e-06
0.0753769,0.266661,5.68458e-07,0,0.00117593,1.398e-05
0.080402,0.283652,6.44071e-07,0,0.0014571,2.01367e-05
0.0854271,0.300533,7.23449e-07,0,0.00177854,2.84297e-05
0.0904523,0.317298,8.06228e-07,0,0.00214157,3.94434e-05
0.0954774,0.333938,8.91972e-07,0,0.00254695,5.38808e-05
0.100503,0.350447,9.80155e-07,0,0.00299483,7.25666e-05
0.105528,0.366806,1.0702e-06,0,0.00348706,9.68256e-05
0.110553,0.382969,1.16098e-06,0,0.00402851,0.000129597
0.115578,0.398946,1.25077e-06,0,0.00460826,0.000171634
0.120603,0.414718,1.33792e-06,0,0.00522274,0.000224909
0.125628,0.430262,1.42052e-06,0,0.00586787,0.00029151
0.130653,0.445554,1.49643e-06,0,0.00653953,0.000373721
0.135678,0.46044,1.55638e-06,0,0.00723652,0.000483244
0.140704,0.474976,1.59649e-06,0,0.00794262,0.000618052
0.145729,0.489132,1.6104e-06,0,0.00865142,0.000781337
0.150754,0.502891,1.59402e-06,0,0.00935749,0.000970937
0.155779,0.516094,1.53649e-06,0,0.0100493,0.00115705
0.160804,0.528918,1.45073e-06,0,0.0107252,0.00130613
0.165829,0.541457,1.34532e-06,0,0.0113864,0.00143427
0.170854,0.553746,1.22398e-06,0,0.0120329,0.00154934
0.175879,0.565673,1.09225e-06,0,0.0126518,0.00166551
0.180905,0.577381,9.55347e-07,0,0.0132511,0.00178258
0.18593,0.588883,8.13788e-07,0,0.0138309,0.00190037
0.190955,0.600103,6.66583e-07,0,0.0143816,0.00201872
0.19598,0.611066,5.1597e-07,0,0.0149029,0.00213696
0.201005,0.621848,3.63724e-07,0,0.0154024,0.00225485
0.20603,0.632399,2.10238e-07,0,0.0158731,0.00237202
0.211055,0.642691,5.74518e-08,0,0.0163089,0.00248762
0.21608,0.652828,-9.41548e-08,0,0.0167231,0.00260197
0.221106,0.662758,-2.43586e-07,0,0.0171078,0.00271442
0.226131,0.672456,-3.88832e-07,0,0.0174573,0.00282389
0.231156,0.682024,-5.31247e-07,0,0.0177866,0.00293143
0.236181,0.691388,-6.68547e-07,0,0.0180835,0.00303558
0.241206,0.70057,-8.00129e-07,0,0.01835,0.00313595
0.246231,0.709645,-9.28195e-07,0,0.0185986,0.00323399
0.251256,0.7185,-1.0481e-06,0,0.0188093,0.0033265
0.256281,0.727238,-1.16308e-06,0,0.018999,0.00341555
0.261307,0.73586,-1.27319e-06,0,0.0191682,0.00350116
0.266332,0.744292,-1.37448e-06,0,0.0193024,0.00358024
0.271357,0.752652,-1.47226e-06,0,0.0194232,0.00365663
0.276382,0.760853,-1.56211e-06,0,0.0195142,0.00372683
0.281407,0.76895,-1.6465e-06,0,0.0195857,0.00379258
0.286432,0.776961,-1.7263e-06,0,0.0196408,0.00385458
0.291457,0.784822,-1.79782e-06,0,0.0196675,0.00390954
0.296482,0.792636,-1.86664e-06,0,0.0196853,0.00396219
0.301508,0.800305,-1.92703e-06,0,0.0196756,0.00400745
0.306533,0.807917,-1.98396e-06,0,0.0196551,0.00404961
0.311558,0.815433,-2.03503e-06,0,0.0196164,0.00408653
0.316583,0.822864,-2.08068e-06,0,0.0195617,0.00411851
0.321608,0.830238,-2.12269e-06,0,0.0194963,0.00414717
0.326633,0.837508,-2.15764e-06,0,0.019411,0.00416933
0.331658,0.84475,-2.19083e-06,0,0.0193208,0.00418986
0.336683,0.851875,-2.21558e-06,0,0.0192081,0.00420258
0.341709,0.858982,-2.23904e-06,0,0.0190921,0.00421411
0.346734,0.86599,-2.25505e-06,0,0.0189572,0.00421875
0.351759,0.872973,-2.26892e-06,0,0.0188172,0.00422142
0.356784,0.879878,-2.27644e-06,0,0.0186621,0.00421824
0.361809,0.88675,-2.28099e-06,0,0.0185001,0.00421234
0.366834,0.893561,-2.27999e-06,0,0.0183255,0.00420139
0.371859,0.900335,-2.27538e-06,0,0.018143,0.00418716
0.376884,0.907059,-2.26578e-06,0,0.0179498,0.00416844
0.38191,0.913747,-2.25212e-06,0,0.017748,0.0041461
0.386935,0.920394,-2.23378e-06,0,0.0175366,0.00411959
0.39196,0.927007,-2.21113e-06,0,0.0173164,0.00408931
0.396985,0.933584,-2.18383e-06,0,0.0170871,0.00405498
0.40201,0.940132,-2.15216e-06,0,0.0168494,0.00401697
0.407035,0.946649,-2.11558e-06,0,0.0166023,0.00397482
0.41206,0.953143,-2.07475e-06,0,0.0163477,0.00392931
0.417085,0.959608,-2.02835e-06,0,0.0160832,0.00387937
0.422111,0.966057,-1.97808e-06,0,0.0158123,0.00382662
0.427136,0.972479,-1.92104e-06,0,0.0155303,0.00376896
0.432161,0.978892,-1.86086e-06,0,0.0152437,0.0037093
0.437186,0.98528,-1.792e-06,0,0.0149443,0.00364407
0.442211,0.991665,-1.72129e-06,0,0.0146425,0.00357783
0.447236,0.99803,-1.63904e-06,0,0.0143259,0.00350527
0.452261,1.00439,-1.55679e-06,0,0.0140093,0.00343272
0.457286,1.01074,-1.45912e-06,0,0.013676,0.0033533
0.462312,1.0171,-1.36115e-06,0,0.0133423,0.00327375
0.467337,1.02344,-1.24702e-06,0,0.0129953,0.00318896
0.472362,1.02979,-1.12868e-06,0,0.0126449,0.0031028
0.477387,1.03614,-9.9328e-07,0,0.012285,0.00301288
0.482412,1.04249,-8.45292e-07,0,0.0119183,0.00292018
0.487437,1.04885,-6.85875e-07,0,0.0115463,0.00282386
0.492462,1.05522,-5.02801e-07,0,0.0111638,0.00272004
0.497487,1.0616,-3.20483e-07,0,0.0107804,0.00261326
0.502513,1.06807,-1.54436e-07,0,0.0103799,0.00244255
0.507538,1.07454,1.16105e-08,0,0.00997938,0.00227184
0.512563,1.08118,1.37574e-07,0,0.00956309,0.00204876
0.517588,1.0879,2.48772e-07,0,0.00914097,0.00180639
0.522613,1.09474,3.28912e-07,0,0.00871237,0.00157243
0.527638,1.10179,3.59361e-07,0,0.00827342,0.00135194
0.532663,1.10883,3.89389e-07,0,0.00783448,0.00113182
0.537688,1.11615,3.41425e-07,0,0.00739585,0.000979624
0.542714,1.12347,2.9346e-07,0,0.00695723,0.000827434
0.547739,1.13087,2.37494e-07,0,0.0065309,0.000707888
0.552764,1.13833,1.76026e-07,0,0.00611302,0.000610789
0.557789,1.14579,1.17132e-07,0,0.00570029,0.00051869
0.562814,1.15327,7.33333e-08,0,0.00531766,0.000455908
0.567839,1.16075,2.95343e-08,0,0.00493504,0.000393125
0.572864,1.16818,-9.56656e-11,0,0.00458087,0.000344046
0.577889,1.1756,-2.25676e-08,0,0.00424106,0.000301889
0.582915,1.183,-4.27888e-08,0,0.00390804,0.000261659
0.58794,1.1903,-5.00557e-08,0,0.00361401,0.000232524
0.592965,1.1976,-5.73227e-08,0,0.00331999,0.000203388
0.59799,1.20481,-5.89778e-08,0,0.00305304,0.000179402
0.603015,1.21196,-5.68322e-08,0,0.00280443,0.000158903
