# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
1             	9.999963e-01	0.000000e+00	0.000000e+00
2             	1.000000e+00	9.939865e-01	1.000000e+00
3             	1.755788e-01	3.093319e-01	6.610188e-01
4             	8.503468e-02	6.812673e-02	3.799262e-01
5             	8.126917e-02	6.150314e-02	3.728647e-01
6             	7.930767e-02	7.550780e-02	8.172661e-01
7             	1.257995e-01	7.214297e-02	5.479213e-01
8             	1.533257e-01	8.832417e-02	5.115663e-01
9             	2.307177e-01	1.033859e-01	6.301799e-01
10            	3.919383e-01	8.713320e-02	5.920666e-01
11            	2.958510e-01	6.192799e-02	5.430512e-01
12            	2.298617e-01	3.932414e-02	4.800794e-01
13            	1.848702e-01	2.705570e-02	4.922312e-01
14            	2.989247e-01	2.237325e-02	3.924846e-01
15            	1.923952e-01	1.972026e-02	3.843031e-01
16            	3.853259e-01	1.757085e-02	4.324303e-01
17            	1.562967e-01	1.596051e-02	4.115640e-01
18            	7.527704e-02	1.454443e-02	3.522011e-01
19            	9.171915e-02	1.362749e-02	3.883484e-01
20            	1.304096e-01	1.248181e-02	2.605682e-01
21            	1.679584e-01	1.171389e-02	3.000919e-01
22            	1.633516e-01	1.068820e-02	2.906734e-01
23            	4.820431e-02	1.009519e-02	2.361907e-01
24            	2.939059e-02	9.742553e-03	2.228260e-01
25            	2.116524e-02	9.411798e-03	2.009088e-01
26            	1.477131e-02	9.164652e-03	1.610087e-01
27            	1.020542e-02	8.881756e-03	1.209941e-01
28            	7.421834e-03	8.626568e-03	1.010366e-01
29            	5.653787e-03	8.390866e-03	8.976235e-02
30            	4.874875e-03	8.143279e-03	7.352159e-02
31            	4.176521e-03	7.925148e-03	6.164788e-02
32            	3.709562e-03	7.727246e-03	6.074531e-02
33            	3.493782e-03	7.534524e-03	5.675130e-02
34            	3.139942e-03	7.301102e-03	4.851739e-02
35            	3.045741e-03	6.995056e-03	4.210685e-02
36            	2.889742e-03	6.737557e-03	3.729549e-02
37            	2.659093e-03	6.502609e-03	3.266445e-02
38            	2.370378e-03	6.297674e-03	2.846233e-02
39            	2.220617e-03	6.107148e-03	2.498374e-02
40            	1.987879e-03	5.937817e-03	2.290816e-02
41            	1.776942e-03	5.782243e-03	2.229982e-02
42            	1.511597e-03	5.642666e-03	2.235479e-02
43            	1.389831e-03	5.514663e-03	2.313237e-02
44            	1.200481e-03	5.397763e-03	2.412815e-02
45            	1.063214e-03	5.290677e-03	2.509726e-02
46            	9.578525e-04	5.191881e-03	2.568095e-02
47            	8.487723e-04	5.100115e-03	2.617558e-02
48            	8.102670e-04	5.013679e-03	2.652401e-02
49            	7.497462e-04	4.933017e-03	2.670016e-02
50            	7.349295e-04	4.857575e-03	2.669117e-02
51            	7.225212e-04	4.786648e-03	2.683510e-02
52            	7.344975e-04	4.718580e-03	2.708826e-02
53            	7.453152e-04	4.653387e-03	2.720507e-02
54            	7.407486e-04	4.591149e-03	2.724540e-02
55            	7.872457e-04	4.532953e-03	2.739407e-02
56            	7.753645e-04	4.477763e-03	2.771638e-02
57            	7.873839e-04	4.423860e-03	2.776305e-02
58            	8.026115e-04	4.371315e-03	2.758021e-02
59            	8.125567e-04	4.320309e-03	2.748329e-02
60            	8.311276e-04	4.270921e-03	2.739601e-02
61            	8.503977e-04	4.224101e-03	2.748567e-02
62            	9.231998e-04	4.178469e-03	2.749356e-02
63            	9.656265e-04	4.136132e-03	2.757357e-02
64            	1.022049e-03	4.093907e-03	2.767140e-02
65            	1.086323e-03	4.052513e-03	2.770458e-02
66            	1.178564e-03	4.012024e-03	2.764399e-02
67            	1.304138e-03	3.973042e-03	2.759144e-02
68            	1.473928e-03	3.935151e-03	2.748888e-02
69            	1.557480e-03	3.897090e-03	2.726922e-02
70            	1.778270e-03	3.859686e-03	2.684186e-02
71            	2.068319e-03	3.823042e-03	2.641530e-02
72            	2.427975e-03	3.786917e-03	2.585350e-02
73            	2.949649e-03	3.752394e-03	2.536971e-02
74            	3.596800e-03	3.719418e-03	2.484525e-02
75            	4.426425e-03	3.687430e-03	2.430194e-02
76            	5.303070e-03	3.655080e-03	2.378600e-02
77            	8.289024e-02	3.660814e-03	2.774871e-02
78            	3.172470e-02	3.641580e-03	3.169021e-02
79            	4.763975e-02	3.595243e-03	2.434354e-02
80            	2.551642e-02	3.580367e-03	2.707065e-02
81            	1.380741e-02	3.547606e-03	2.574719e-02
82            	1.397341e-02	3.522169e-03	2.249843e-02
83            	3.230508e-02	3.495208e-03	1.862926e-02
84            	4.617754e-02	3.469667e-03	1.724602e-02
85            	1.556851e-02	3.443513e-03	1.740810e-02
86            	7.782467e-01	3.451386e-03	2.813348e-02
