y,U_x,U_y,U_z
0,0,0,0
0.00502513,0.0151872,-6.7284e-10,0
0.0100503,0.0303332,-1.49796e-09,0
0.0150754,0.0452733,-3.08451e-09,0
0.0201005,0.0601723,-4.91134e-09,0
0.0251256,0.0749665,-7.35388e-09,0
0.0301508,0.0897094,-1.00301e-08,0
0.0351759,0.104353,-1.31586e-08,0
0.040201,0.118944,-1.64421e-08,0
0.0452261,0.133433,-2.00199e-08,0
0.0502513,0.147875,-2.36621e-08,0
0.0552764,0.162205,-2.74603e-08,0
0.0603015,0.176506,-3.12584e-08,0
0.0653266,0.190671,-3.50559e-08,0
0.0703518,0.204835,-3.88518e-08,0
0.0753769,0.218832,-4.24351e-08,0
0.080402,0.232828,-4.60184e-08,0
0.0854271,0.24669,-4.92842e-08,0
0.0904523,0.260512,-5.24564e-08,0
0.0954774,0.274249,-5.53524e-08,0
0.100503,0.287891,-5.79415e-08,0
0.105528,0.301513,-6.0452e-08,0
0.110553,0.31497,-6.23185e-08,0
0.115578,0.328427,-6.4185e-08,0
0.120603,0.341755,-6.54915e-08,0
0.125628,0.355021,-6.65294e-08,0
0.130653,0.368252,-6.74106e-08,0
0.135678,0.381321,-6.75433e-08,0
0.140704,0.394389,-6.7676e-08,0
0.145729,0.407336,-6.72358e-08,0
0.150754,0.4202,-6.64116e-08,0
0.155779,0.433065,-6.55874e-08,0
0.160804,0.44573,-6.38282e-08,0
0.165829,0.458384,-6.20202e-08,0
0.170854,0.470989,-5.9987e-08,0
0.175879,0.483427,-5.71829e-08,0
0.180905,0.495865,-5.43789e-08,0
0.18593,0.508208,-5.11318e-08,0
0.190955,0.520423,-4.72816e-08,0
0.19598,0.532637,-4.34315e-08,0
0.201005,0.544727,-3.89435e-08,0
0.20603,0.556712,-3.39133e-08,0
0.211055,0.568697,-2.88832e-08,0
0.21608,0.580546,-2.33482e-08,0
0.221106,0.592294,-1.744e-08,0
0.226131,0.604043,-1.15317e-08,0
0.231156,0.615664,-5.33057e-09,0
0.236181,0.62717,1.13638e-09,0
0.241206,0.638677,7.60334e-09,0
0.246231,0.650087,1.41482e-08,0
0.251256,0.661344,2.08172e-08,0
0.256281,0.672602,2.74861e-08,0
0.261307,0.683819,3.41209e-08,0
0.266332,0.694821,4.05728e-08,0
0.271357,0.705824,4.70247e-08,0
0.276382,0.716826,5.34766e-08,0
0.281407,0.72761,5.95197e-08,0
0.286432,0.73835,6.54829e-08,0
0.291457,0.749091,7.14461e-08,0
0.296482,0.759718,7.6885e-08,0
0.301508,0.77019,8.16008e-08,0
0.306533,0.780662,8.63166e-08,0
0.311558,0.791133,9.10323e-08,0
0.316583,0.801355,9.49792e-08,0
0.321608,0.811551,9.88461e-08,0
0.326633,0.821747,1.02713e-07,0
0.331658,0.83186,1.06488e-07,0
0.336683,0.841774,1.10037e-07,0
0.341709,0.851687,1.13586e-07,0
0.346734,0.8616,1.17135e-07,0
0.351759,0.871347,1.20898e-07,0
0.356784,0.880971,1.24822e-07,0
0.361809,0.890594,1.28746e-07,0
0.366834,0.900217,1.32669e-07,0
0.371859,0.909619,1.37299e-07,0
0.376884,0.918945,1.42169e-07,0
0.38191,0.928271,1.47038e-07,0
0.386935,0.937597,1.51908e-07,0
0.39196,0.946676,1.56813e-07,0
0.396985,0.955697,1.61727e-07,0
0.40201,0.964718,1.66641e-07,0
0.407035,0.973739,1.71554e-07,0
0.41206,0.982521,1.76095e-07,0
0.417085,0.991228,1.80519e-07,0
0.422111,0.999936,1.84944e-07,0
0.427136,1.00864,1.89368e-07,0
0.432161,1.01716,1.93235e-07,0
0.437186,1.02554,1.96726e-07,0
0.442211,1.03393,2.00218e-07,0
0.447236,1.04232,2.03709e-07,0
0.452261,1.0506,2.07111e-07,0
0.457286,1.05866,2.10318e-07,0
0.462312,1.06671,2.13525e-07,0
0.467337,1.07477,2.16732e-07,0
0.472362,1.08283,2.19939e-07,0
0.477387,1.09058,2.23975e-07,0
0.482412,1.09829,2.28096e-07,0
0.487437,1.10601,2.32216e-07,0
0.492462,1.11373,2.36337e-07,0
0.497487,1.12132,2.4055e-07,0
0.502513,1.12869,2.44919e-07,0
0.507538,1.13606,2.49287e-07,0
0.512563,1.14343,2.53655e-07,0
0.517588,1.1508,2.58024e-07,0
0.522613,1.15791,2.6195e-07,0
0.527638,1.16493,2.65696e-07,0
0.532663,1.17194,2.69441e-07,0
0.537688,1.17895,2.73187e-07,0
0.542714,1.18597,2.76933e-07,0
