y,U_x,U_y,U_z,k,nut
0,0,0,0,5.0543e-07,0
0.00502513,0.0690354,-4.14501e-10,0,1.25199e-05,3.07215e-08
0.0100503,0.137444,-3.00632e-09,0,9.05269e-05,4.99052e-07
0.0150754,0.205107,-9.33414e-09,0,0.000335408,3.28423e-06
0.0201005,0.270993,-2.1367e-08,0,0.000844339,1.26512e-05
0.0251256,0.333261,-4.12667e-08,0,0.00163328,3.37464e-05
0.0301508,0.38996,-6.96932e-08,0,0.00260461,6.92123e-05
0.0351759,0.440008,-1.0368e-07,0,0.00360819,0.000117797
0.040201,0.483512,-1.37829e-07,0,0.00453006,0.000175438
0.0452261,0.521355,-1.68563e-07,0,0.00532324,0.000237253
0.0502513,0.554575,-1.9402e-07,0,0.00598724,0.000301832
0.0552764,0.583996,-2.13989e-07,0,0.00653777,0.000370192
0.0603015,0.610229,-2.29653e-07,0,0.00699162,0.000441943
0.0653266,0.633778,-2.41043e-07,0,0.00736513,0.000516542
0.0703518,0.654841,-2.4809e-07,0,0.0076669,0.000593696
0.0753769,0.674004,-2.52034e-07,0,0.00791643,0.000672746
0.080402,0.691541,-2.53844e-07,0,0.00812332,0.000753433
0.0854271,0.707673,-2.54423e-07,0,0.00829515,0.000835556
0.0904523,0.722583,-2.54509e-07,0,0.00843797,0.000918936
0.0954774,0.736423,-2.54636e-07,0,0.00855658,0.00100342
0.100503,0.74932,-2.55133e-07,0,0.00865485,0.00108888
0.105528,0.761341,-2.56173e-07,0,0.0087351,0.00117524
0.110553,0.772488,-2.57783e-07,0,0.00879831,0.00126244
0.115578,0.782992,-2.59732e-07,0,0.00884961,0.00135022
0.120603,0.792917,-2.61911e-07,0,0.00889052,0.00143845
0.125628,0.802318,-2.64235e-07,0,0.00892233,0.00152705
0.130653,0.81124,-2.66636e-07,0,0.00894606,0.00161589
0.135678,0.819583,-2.69041e-07,0,0.00896045,0.00170485
0.140704,0.827549,-2.71382e-07,0,0.008969,0.00179375
0.145729,0.835169,-2.73614e-07,0,0.0089723,0.00188247
0.150754,0.842471,-2.75699e-07,0,0.00897085,0.00197093
0.155779,0.849379,-2.77486e-07,0,0.00896371,0.00205885
0.160804,0.855996,-2.78943e-07,0,0.00895253,0.00214613
0.165829,0.862375,-2.8008e-07,0,0.00893809,0.00223277
0.170854,0.868533,-2.80882e-07,0,0.00892068,0.00231872
0.175879,0.874369,-2.81092e-07,0,0.00889906,0.00240334
0.180905,0.880024,-2.80928e-07,0,0.00887515,0.002487
0.18593,0.88551,-2.8041e-07,0,0.00884913,0.00256972
0.190955,0.890778,-2.79414e-07,0,0.00882044,0.002651
0.19598,0.895856,-2.78021e-07,0,0.00878951,0.00273082
0.201005,0.900806,-2.76375e-07,0,0.00875708,0.00280955
0.20603,0.905594,-2.74439e-07,0,0.00872281,0.00288683
0.211055,0.910209,-2.72291e-07,0,0.00868664,0.00296235
0.21608,0.914723,-2.70076e-07,0,0.00864939,0.00303679
0.221106,0.919105,-2.67818e-07,0,0.00861073,0.00310976
0.226131,0.923341,-2.65674e-07,0,0.00857061,0.00318104
0.231156,0.927497,-2.63634e-07,0,0.00852972,0.0032514
0.236181,0.931528,-2.61814e-07,0,0.00848764,0.00332029
0.241206,0.935449,-2.60195e-07,0,0.00844459,0.00338798
0.246231,0.939306,-2.5866e-07,0,0.00840098,0.00345497
0.251256,0.943031,-2.57092e-07,0,0.00835632,0.00352069
0.256281,0.946685,-2.55093e-07,0,0.00831115,0.00358584
0.261307,0.950269,-2.5267e-07,0,0.0082655,0.00365044
0.266332,0.953737,-2.48263e-07,0,0.00821915,0.00371428
0.271357,0.957159,-2.42646e-07,0,0.00817257,0.00377781
0.276382,0.960483,-2.33762e-07,0,0.00812552,0.00384064
0.281407,0.963741,-2.21583e-07,0,0.00807825,0.00390262
0.286432,0.966944,-2.06636e-07,0,0.00803079,0.00396389
0.291457,0.970051,-1.8614e-07,0,0.0079831,0.00402227
0.296482,0.973128,-1.64143e-07,0,0.00793535,0.00407926
0.301508,0.976113,-1.38669e-07,0,0.00788741,0.00412982
0.306533,0.979065,-1.13031e-07,0,0.00783939,0.00417686
0.311558,0.98196,-8.71135e-08,0,0.00779122,0.00421793
0.316583,0.984806,-6.28524e-08,0,0.0077429,0.00425538
0.321608,0.98762,-3.97072e-08,0,0.00769447,0.0042904
0.326633,0.990375,-2.01362e-08,0,0.00764582,0.0043231
0.331658,0.993114,-1.46209e-09,0,0.00759712,0.00435522
0.336683,0.995785,1.35462e-08,0,0.00754817,0.00438459
0.341709,0.998446,2.80762e-08,0,0.00749919,0.00441354
0.346734,1.00105,3.9934e-08,0,0.00745,0.00444013
0.351759,1.00363,5.11481e-08,0,0.00740075,0.00446605
0.356784,1.00617,6.04464e-08,0,0.00735133,0.00449001
0.361809,1.00869,6.89835e-08,0,0.00730185,0.00451309
0.366834,1.01117,7.6106e-08,0,0.00725223,0.00453452
0.371859,1.01362,8.24307e-08,0,0.00720252,0.00455492
0.376884,1.01604,8.76594e-08,0,0.00715271,0.00457391
0.38191,1.01844,9.20982e-08,0,0.00710281,0.00459179
0.386935,1.0208,9.56301e-08,0,0.00705282,0.00460841
0.39196,1.02314,9.84238e-08,0,0.00700275,0.0046239
0.396985,1.02545,1.00425e-07,0,0.00695259,0.00463819
0.40201,1.02774,1.01782e-07,0,0.00690236,0.0046514
0.407035,1.03,1.02416e-07,0,0.00685205,0.0046634
0.41206,1.03224,1.0253e-07,0,0.00680167,0.00467439
0.417085,1.03445,1.0196e-07,0,0.00675122,0.00468407
0.422111,1.03665,1.00995e-07,0,0.00670072,0.0046929
0.427136,1.03881,9.93402e-08,0,0.00665014,0.00470027
0.432161,1.04096,9.74174e-08,0,0.00659953,0.00470706
0.437186,1.04308,9.47533e-08,0,0.00654883,0.00471223
0.442211,1.04519,9.19572e-08,0,0.00649811,0.00471713
0.447236,1.04727,8.83401e-08,0,0.0064473,0.00472026
0.452261,1.04934,8.4723e-08,0,0.00639649,0.00472338
0.457286,1.05137,8.02519e-08,0,0.00634559,0.00472457
0.462312,1.05341,7.57645e-08,0,0.00629469,0.00472571
0.467337,1.0554,7.06996e-08,0,0.00624372,0.0047253
0.472362,1.05739,6.54847e-08,0,0.00619273,0.00472449
0.477387,1.05936,5.99556e-08,0,0.00614171,0.00472256
0.482412,1.06131,5.41945e-08,0,0.00609066,0.00471982
0.487437,1.06325,4.8298e-08,0,0.0060396,0.00471645
0.492462,1.06516,4.21212e-08,0,0.00598849,0.0047118
0.497487,1.06706,3.59327e-08,0,0.00593739,0.00470707
0.502513,1.06893,2.9494e-08,0,0.00588625,0.00470052
0.507538,1.0708,2.30552e-08,0,0.00583511,0.00469396
0.512563,1.07264,1.65916e-08,0,0.00578396,0.00468604
0.517588,1.07448,1.01188e-08,0,0.0057328,0.00467761
0.522613,1.0763,3.80087e-09,0,0.00568164,0.00466849
0.527638,1.07809,-2.26928e-09,0,0.00563048,0.00465826
0.532663,1.07989,-8.33433e-09,0,0.00557932,0.00464803
0.537688,1.08165,-1.34532e-08,0,0.00552818,0.00463613
0.542714,1.08341,-1.85721e-08,0,0.00547704,0.00462423
0.547739,1.08515,-2.28975e-08,0,0.00542593,0.0046114
0.552764,1.08687,-2.66773e-08,0,0.00537484,0.00459793
0.557789,1.08859,-3.02822e-08,0,0.00532377,0.00458423
0.562814,1.09028,-3.28611e-08,0,0.00527276,0.00456922
0.567839,1.09197,-3.54401e-08,0,0.00522175,0.00455421
0.572864,1.09363,-3.75116e-08,0,0.00517082,0.0045382
0.577889,1.09529,-3.93268e-08,0,0.00511994,0.00452169
0.582915,1.09693,-4.1099e-08,0,0.00506907,0.00450497
0.58794,1.09855,-4.26238e-08,0,0.00501835,0.00448701
0.592965,1.10017,-4.41485e-08,0,0.00496762,0.00446906
0.59799,1.10177,-4.56908e-08,0,0.00491702,0.00445031
0.603015,1.10335,-4.72448e-08,0,0.0048665,0.00443101
0.60804,1.10493,-4.87981e-08,0,0.00481599,0.0044117
0.613065,1.10648,-5.02582e-08,0,0.00476574,0.00439116
0.61809,1.10803,-5.17183e-08,0,0.0047155,0.00437063
0.623116,1.10957,-5.29635e-08,0,0.00466538,0.00434964
0.628141,1.11108,-5.38643e-08,0,0.00461546,0.00432793
0.633166,1.1126,-5.47651e-08,0,0.00456554,0.00430622
0.638191,1.11408,-5.50119e-08,0,0.00451592,0.00428376
0.643216,1.11556,-5.5008e-08,0,0.0044664,0.00426102
0.648241,1.11704,-5.49841e-08,0,0.0044169,0.00423825
0.653266,1.11848,-5.4143e-08,0,0.00436787,0.00421459
0.658291,1.11992,-5.33019e-08,0,0.00431883,0.00419093
0.663317,1.12135,-5.23245e-08,0,0.00426996,0.00416702
0.668342,1.12275,-5.10086e-08,0,0.00422149,0.00414247
0.673367,1.12416,-4.96927e-08,0,0.00417302,0.00411791
0.678392,1.12554,-4.84583e-08,0,0.00412489,0.00409297
0.683417,1.12691,-4.73019e-08,0,0.00407707,0.00406767
0.688442,1.12827,-4.61454e-08,0,0.00402926,0.00404236
0.693467,1.12961,-4.53652e-08,0,0.00398197,0.00401666
0.698492,1.13094,-4.47485e-08,0,0.00393491,0.00399079
0.703518,1.13226,-4.41318e-08,0,0.00388785,0.00396492
0.708543,1.13355,-4.39e-08,0,0.00384152,0.00393867
0.713568,1.13484,-4.37402e-08,0,0.00379532,0.00391234
0.718593,1.13613,-4.35803e-08,0,0.00374913,0.00388602
0.723618,1.13737,-4.36545e-08,0,0.00370386,0.00385943
0.728643,1.13862,-4.37416e-08,0,0.00365864,0.00383283
0.733668,1.13986,-4.38303e-08,0,0.00361343,0.00380622
0.738693,1.14106,-4.40468e-08,0,0.00356932,0.00377953
0.743719,1.14226,-4.42633e-08,0,0.0035252,0.00375285
0.748744,1.14345,-4.44879e-08,0,0.00348113,0.00372616
0.753769,1.1446,-4.49301e-08,0,0.00343827,0.00369961
0.758794,1.14575,-4.53724e-08,0,0.0033954,0.00367306
0.763819,1.1469,-4.58266e-08,0,0.00335256,0.00364651
0.768844,1.14801,-4.69653e-08,0,0.00331109,0.00362032
0.773869,1.14911,-4.81039e-08,0,0.00326962,0.00359414
0.778894,1.15021,-4.92426e-08,0,0.00322816,0.00356796
0.78392,1.15126,-5.08265e-08,0,0.0031882,0.00354243
0.788945,1.15231,-5.24309e-08,0,0.00314831,0.00351694
0.79397,1.15336,-5.40354e-08,0,0.00310842,0.00349145
0.798995,1.15436,-5.54685e-08,0,0.00307004,0.00346681
0.80402,1.15535,-5.68717e-08,0,0.00303192,0.00344231
0.809045,1.15634,-5.82748e-08,0,0.0029938,0.00341782
0.81407,1.15729,-5.88631e-08,0,0.00295709,0.00339422
0.819095,1.15822,-5.91073e-08,0,0.00292096,0.003371
0.824121,1.15915,-5.93515e-08,0,0.00288483,0.00334778
0.829146,1.16005,-5.88218e-08,0,0.00284984,0.00332538
0.834171,1.16091,-5.755e-08,0,0.00281594,0.00330379
0.839196,1.16177,-5.62783e-08,0,0.00278204,0.00328219
0.844221,1.16262,-5.47387e-08,0,0.00274883,0.00326111
0.849246,1.16341,-5.24852e-08,0,0.00271742,0.0032414
0.854271,1.16421,-5.02317e-08,0,0.00268602,0.00322169
0.859296,1.165,-4.79782e-08,0,0.00265461,0.00320198
0.864322,1.16572,-4.54055e-08,0,0.00262594,0.00318441
0.869347,1.16643,-4.28294e-08,0,0.0025973,0.00316686
0.874372,1.16715,-4.02533e-08,0,0.00256866,0.00314932
0.879397,1.16781,-3.78e-08,0,0.00254204,0.00313343
0.884422,1.16845,-3.541e-08,0,0.00251645,0.0031184
0.889447,1.16908,-3.30199e-08,0,0.00249087,0.00310337
0.894472,1.1697,-3.06573e-08,0,0.00246623,0.00308911
0.899497,1.17024,-2.8364e-08,0,0.00244398,0.0030768
0.904523,1.17079,-2.60708e-08,0,0.00242174,0.00306448
0.909548,1.17134,-2.37775e-08,0,0.00239949,0.00305217
0.914573,1.17181,-2.16349e-08,0,0.00238035,0.00304225
0.919598,1.17227,-1.95171e-08,0,0.00236172,0.00303272
0.924623,1.17273,-1.73993e-08,0,0.00234309,0.00302319
0.929648,1.17315,-1.5415e-08,0,0.00232594,0.0030147
0.934673,1.17351,-1.36425e-08,0,0.00231117,0.00300786
0.939698,1.17387,-1.18701e-08,0,0.00229639,0.00300102
0.944724,1.17424,-1.00976e-08,0,0.00228161,0.00299418
0.949749,1.17451,-8.75226e-09,0,0.00227035,0.00298946
0.954774,1.17477,-7.47346e-09,0,0.00225963,0.00298506
0.959799,1.17504,-6.19467e-09,0,0.00224891,0.00298066
0.964824,1.17527,-5.04714e-09,0,0.00223943,0.00297688
0.969849,1.17542,-4.21483e-09,0,0.00223293,0.00297459
0.974874,1.17558,-3.38252e-09,0,0.00222644,0.0029723
0.979899,1.17574,-2.55022e-09,0,0.00221994,0.00297001
0.984925,1.17582,-1.86057e-09,0,0.00221635,0.00296882
0.98995,1.17588,-1.24038e-09,0,0.00221418,0.00296816
0.994975,1.17593,-6.20189e-10,0,0.00221201,0.0029675
1,1.17598,0,0,0.00220984,0.00296684
