y,U_x,U_y,U_z
0,0,0,0
0.00502513,0.183566,6.15364e-09,0
0.0100503,0.352449,1.19901e-08,0
0.0150754,0.447912,1.62405e-08,0
0.0201005,0.530138,2.01577e-08,0
0.0251256,0.57845,2.32207e-08,0
0.0301508,0.620421,2.57358e-08,0
0.0351759,0.650119,2.71903e-08,0
0.040201,0.676785,2.82342e-08,0
0.0452261,0.697694,2.84983e-08,0
0.0502513,0.717159,2.84831e-08,0
0.0552764,0.73312,2.779e-08,0
0.0603015,0.748512,2.70414e-08,0
0.0653266,0.761315,2.60396e-08,0
0.0703518,0.774102,2.50384e-08,0
0.0753769,0.784727,2.41046e-08,0
0.080402,0.795351,2.31708e-08,0
0.0854271,0.804749,2.24321e-08,0
0.0904523,0.813786,2.17509e-08,0
0.0954774,0.822251,2.11917e-08,0
0.100503,0.830081,2.07681e-08,0
0.105528,0.837807,2.03633e-08,0
0.110553,0.844689,2.01124e-08,0
0.115578,0.85157,1.98616e-08,0
0.120603,0.857936,1.96651e-08,0
0.125628,0.864053,1.94946e-08,0
0.130653,0.870062,1.93257e-08,0
0.135678,0.875551,1.9164e-08,0
0.140704,0.88104,1.90022e-08,0
0.145729,0.886213,1.88058e-08,0
0.150754,0.891176,1.85862e-08,0
0.155779,0.896138,1.83666e-08,0
0.160804,0.900674,1.8026e-08,0
0.165829,0.905189,1.76791e-08,0
0.170854,0.909616,1.72944e-08,0
0.175879,0.913744,1.67802e-08,0
0.180905,0.917873,1.62661e-08,0
0.18593,0.921859,1.56866e-08,0
0.190955,0.925651,1.50184e-08,0
0.19598,0.929443,1.43501e-08,0
0.201005,0.933075,1.36548e-08,0
0.20603,0.936572,1.29364e-08,0
0.211055,0.940068,1.22181e-08,0
0.21608,0.943413,1.15428e-08,0
0.221106,0.946647,1.08992e-08,0
0.226131,0.949881,1.02556e-08,0
0.231156,0.952991,9.72728e-09,0
0.236181,0.95599,9.30363e-09,0
0.241206,0.958988,8.87999e-09,0
0.246231,0.961905,8.55899e-09,0
0.251256,0.964691,8.40135e-09,0
0.256281,0.967478,8.24371e-09,0
0.261307,0.970234,8.11968e-09,0
0.266332,0.972828,8.17543e-09,0
0.271357,0.975422,8.23117e-09,0
0.276382,0.978016,8.28692e-09,0
0.281407,0.980463,8.45984e-09,0
0.286432,0.982882,8.65566e-09,0
0.291457,0.9853,8.85147e-09,0
0.296482,0.987651,9.05727e-09,0
0.301508,0.989908,9.27685e-09,0
0.306533,0.992165,9.49642e-09,0
0.311558,0.994422,9.71599e-09,0
0.316583,0.996544,9.88144e-09,0
0.321608,0.998652,1.00413e-08,0
0.326633,1.00076,1.02011e-08,0
0.331658,1.00283,1.03299e-08,0
0.336683,1.0048,1.03832e-08,0
0.341709,1.00677,1.04365e-08,0
0.346734,1.00874,1.04898e-08,0
0.351759,1.01063,1.04729e-08,0
0.356784,1.01247,1.04034e-08,0
0.361809,1.01432,1.03339e-08,0
0.366834,1.01616,1.02645e-08,0
0.371859,1.01791,1.01146e-08,0
0.376884,1.01963,9.93737e-09,0
0.38191,1.02135,9.76017e-09,0
0.386935,1.02307,9.58296e-09,0
0.39196,1.0247,9.34898e-09,0
0.396985,1.02631,9.10176e-09,0
0.40201,1.02792,8.85454e-09,0
0.407035,1.02953,8.60732e-09,0
0.41206,1.03106,8.33365e-09,0
0.417085,1.03256,8.05174e-09,0
0.422111,1.03406,7.76984e-09,0
0.427136,1.03556,7.48793e-09,0
0.432161,1.037,7.20006e-09,0
0.437186,1.0384,6.90817e-09,0
0.442211,1.03981,6.61629e-09,0
0.447236,1.04121,6.3244e-09,0
0.452261,1.04258,6.03383e-09,0
0.457286,1.04389,5.74613e-09,0
0.462312,1.04519,5.45843e-09,0
0.467337,1.0465,5.17074e-09,0
0.472362,1.0478,4.88304e-09,0
0.477387,1.04903,4.60468e-09,0
0.482412,1.05024,4.32729e-09,0
0.487437,1.05146,4.04989e-09,0
0.492462,1.05267,3.77249e-09,0
0.497487,1.05386,3.49939e-09,0
0.502513,1.05498,3.23347e-09,0
0.507538,1.05611,2.96755e-09,0
0.512563,1.05724,2.70164e-09,0
0.517588,1.05837,2.43572e-09,0
0.522613,1.05944,2.17794e-09,0
0.527638,1.06048,1.92348e-09,0
0.532663,1.06153,1.66902e-09,0
0.537688,1.06257,1.41456e-09,0
0.542714,1.06361,1.1601e-09,0
0.547739,1.06459,9.19359e-10,0
0.552764,1.06555,6.79931e-10,0
0.557789,1.06651,4.40502e-10,0
