y,U_x,U_y,U_z
0,0,0,0
0.00502513,0.0498914,-5.98089e-09,0
0.0100503,0.0996308,-1.38454e-08,0
0.0150754,0.14861,-3.11284e-08,0
0.0201005,0.197253,-5.19342e-08,0
0.0251256,0.245035,-8.17668e-08,0
0.0301508,0.291804,-1.14104e-07,0
0.0351759,0.336612,-1.51289e-07,0
0.040201,0.379582,-1.86728e-07,0
0.0452261,0.419064,-2.18851e-07,0
0.0502513,0.456655,-2.4729e-07,0
0.0552764,0.489659,-2.66793e-07,0
0.0603015,0.521603,-2.83932e-07,0
0.0653266,0.548716,-2.90304e-07,0
0.0703518,0.575794,-2.96613e-07,0
0.0753769,0.598239,-2.94522e-07,0
0.080402,0.620684,-2.92431e-07,0
0.0854271,0.640312,-2.88733e-07,0
0.0904523,0.65911,-2.84563e-07,0
0.0954774,0.67654,-2.80525e-07,0
0.100503,0.69245,-2.76634e-07,0
0.105528,0.708111,-2.72867e-07,0
0.110553,0.721728,-2.70124e-07,0
0.115578,0.735344,-2.67381e-07,0
0.120603,0.747721,-2.65434e-07,0
0.125628,0.759502,-2.6387e-07,0
0.130653,0.771027,-2.62418e-07,0
0.135678,0.781326,-2.61508e-07,0
0.140704,0.791624,-2.60598e-07,0
0.145729,0.801196,-2.59705e-07,0
0.150754,0.810282,-2.58824e-07,0
0.155779,0.819368,-2.57942e-07,0
0.160804,0.827502,-2.56607e-07,0
0.165829,0.835587,-2.55249e-07,0
0.170854,0.843483,-2.537e-07,0
0.175879,0.850731,-2.51503e-07,0
0.180905,0.85798,-2.49306e-07,0
0.18593,0.864931,-2.46732e-07,0
0.190955,0.871476,-2.43644e-07,0
0.19598,0.878021,-2.40556e-07,0
0.201005,0.884243,-2.37099e-07,0
0.20603,0.89019,-2.33328e-07,0
0.211055,0.896136,-2.29557e-07,0
0.21608,0.901788,-2.25628e-07,0
0.221106,0.907221,-2.21583e-07,0
0.226131,0.912655,-2.17537e-07,0
0.231156,0.917855,-2.13559e-07,0
0.236181,0.922845,-2.09642e-07,0
0.241206,0.927834,-2.05725e-07,0
0.246231,0.932674,-2.01863e-07,0
0.251256,0.937276,-1.98089e-07,0
0.256281,0.941878,-1.94315e-07,0
0.261307,0.946426,-1.90458e-07,0
0.266332,0.950685,-1.86162e-07,0
0.271357,0.954945,-1.81865e-07,0
0.276382,0.959204,-1.77569e-07,0
0.281407,0.963208,-1.71894e-07,0
0.286432,0.967162,-1.65949e-07,0
0.291457,0.971117,-1.60004e-07,0
0.296482,0.974955,-1.53197e-07,0
0.301508,0.978634,-1.452e-07,0
0.306533,0.982313,-1.37203e-07,0
0.311558,0.985992,-1.29206e-07,0
0.316583,0.989445,-1.21054e-07,0
0.321608,0.992874,-1.12887e-07,0
0.326633,0.996303,-1.04719e-07,0
0.331658,0.999666,-9.73055e-08,0
0.336683,1.00287,-9.17302e-08,0
0.341709,1.00607,-8.61549e-08,0
0.346734,1.00928,-8.05797e-08,0
0.351759,1.01237,-7.60606e-08,0
0.356784,1.01537,-7.23323e-08,0
0.361809,1.01837,-6.86041e-08,0
0.366834,1.02138,-6.48758e-08,0
0.371859,1.02425,-6.08871e-08,0
0.376884,1.02708,-5.68097e-08,0
0.38191,1.02991,-5.27324e-08,0
0.386935,1.03274,-4.86551e-08,0
0.39196,1.03545,-4.31001e-08,0
0.396985,1.03812,-3.72004e-08,0
0.40201,1.0408,-3.13006e-08,0
0.407035,1.04347,-2.54009e-08,0
0.41206,1.04604,-1.73762e-08,0
0.417085,1.04856,-8.6894e-09,0
0.422111,1.05109,-2.63947e-12,0
0.427136,1.05362,8.68413e-09,0
0.432161,1.05607,1.76992e-08,0
0.437186,1.05847,2.69351e-08,0
0.442211,1.06086,3.6171e-08,0
0.447236,1.06325,4.54068e-08,0
0.452261,1.06561,5.41355e-08,0
0.457286,1.06787,6.17557e-08,0
0.462312,1.07014,6.93758e-08,0
0.467337,1.0724,7.6996e-08,0
0.472362,1.07467,8.46161e-08,0
0.477387,1.07682,9.11222e-08,0
0.482412,1.07896,9.7514e-08,0
0.487437,1.08111,1.03906e-07,0
0.492462,1.08325,1.10298e-07,0
0.497487,1.08535,1.16661e-07,0
0.502513,1.08737,1.22977e-07,0
0.507538,1.0894,1.29292e-07,0
0.512563,1.09142,1.35608e-07,0
0.517588,1.09345,1.41924e-07,0
0.522613,1.09539,1.49122e-07,0
0.527638,1.09731,1.56681e-07,0
0.532663,1.09922,1.64239e-07,0
0.537688,1.10113,1.71798e-07,0
0.542714,1.10304,1.79357e-07,0
0.547739,1.10486,1.87364e-07,0
0.552764,1.10666,1.95414e-07,0
0.557789,1.10846,2.03463e-07,0
0.562814,1.11027,2.11513e-07,0
0.567839,1.11207,2.19563e-07,0
0.572864,1.11377,2.25095e-07,0
0.577889,1.11547,2.3057e-07,0
0.582915,1.11716,2.36045e-07,0
0.58794,1.11886,2.4152e-07,0
0.592965,1.12056,2.46995e-07,0
0.59799,1.12216,2.46311e-07,0
0.603015,1.12375,2.44952e-07,0
0.60804,1.12534,2.43593e-07,0
0.613065,1.12693,2.42234e-07,0
0.61809,1.12852,2.40875e-07,0
0.623116,1.13004,2.35188e-07,0
0.628141,1.13153,2.27453e-07,0
0.633166,1.13302,2.19719e-07,0
0.638191,1.1345,2.11985e-07,0
0.643216,1.13599,2.04251e-07,0
0.648241,1.13744,1.95545e-07,0
0.653266,1.13883,1.84644e-07,0
0.658291,1.14021,1.73744e-07,0
0.663317,1.14159,1.62843e-07,0
0.668342,1.14297,1.51943e-07,0
0.673367,1.14436,1.41042e-07,0
0.678392,1.14566,1.29568e-07,0
0.683417,1.14693,1.17932e-07,0
0.688442,1.14821,1.06296e-07,0
0.693467,1.14949,9.46596e-08,0
0.698492,1.15077,8.30235e-08,0
0.703518,1.15203,7.18309e-08,0
0.708543,1.1532,6.48319e-08,0
0.713568,1.15437,5.78329e-08,0
0.718593,1.15554,5.08338e-08,0
0.723618,1.15671,4.38348e-08,0
0.728643,1.15788,3.68358e-08,0
0.733668,1.15903,3.0347e-08,0
0.738693,1.16009,2.54085e-08,0
0.743719,1.16114,2.04701e-08,0
0.748744,1.1622,1.55316e-08,0
0.753769,1.16326,1.05931e-08,0
0.758794,1.16432,5.65462e-09,0
0.763819,1.16535,8.26756e-10,0
0.768844,1.1663,-3.6346e-09,0
0.773869,1.16724,-8.09595e-09,0
0.778894,1.16818,-1.25573e-08,0
0.78392,1.16913,-1.70186e-08,0
0.788945,1.17007,-2.148e-08,0
0.79397,1.17101,-2.56882e-08,0
0.798995,1.17183,-2.43177e-08,0
0.80402,1.17265,-2.29471e-08,0
0.809045,1.17347,-2.15765e-08,0
0.81407,1.1743,-2.02059e-08,0
0.819095,1.17512,-1.88353e-08,0
0.824121,1.17594,-1.74647e-08,0
0.829146,1.17667,-1.68671e-08,0
0.834171,1.17737,-1.66377e-08,0
0.839196,1.17806,-1.64082e-08,0
0.844221,1.17875,-1.61788e-08,0
0.849246,1.17944,-1.59493e-08,0
0.854271,1.18014,-1.57199e-08,0
0.859296,1.18081,-1.55479e-08,0
0.864322,1.18136,-1.57655e-08,0
0.869347,1.18192,-1.59831e-08,0
0.874372,1.18247,-1.62006e-08,0
0.879397,1.18303,-1.64182e-08,0
0.884422,1.18358,-1.66357e-08,0
0.889447,1.18413,-1.68533e-08,0
0.894472,1.18463,-1.64786e-08,0
0.899497,1.18503,-1.51856e-08,0
0.904523,1.18544,-1.38926e-08,0
0.909548,1.18585,-1.25996e-08,0
