y,U_x,U_y,U_z,k,nut
0,0,0,0,2.22045e-16,0
0.00502513,0.0150838,2.60467e-19,0,2.22045e-16,1.38862e-20
0.0100503,0.0300444,7.96316e-19,0,2.22045e-16,4.81847e-20
0.0150754,0.0449298,1.63585e-18,0,2.22045e-16,1.11747e-19
0.0201005,0.0597399,2.68348e-18,0,2.22045e-16,2.06845e-19
0.0251256,0.0744745,3.9575e-18,0,2.22045e-16,3.33133e-19
0.0301508,0.0891335,5.4305e-18,0,2.22045e-16,4.89149e-19
0.0351759,0.103717,7.0689e-18,0,2.22045e-16,6.7358e-19
0.040201,0.118225,8.85283e-18,0,2.22045e-16,8.85841e-19
0.0452261,0.132658,1.07569e-17,0,2.22045e-16,1.12586e-18
0.0502513,0.147014,1.27393e-17,0,2.22045e-16,1.39374e-18
0.0552764,0.161296,1.48143e-17,0,2.22045e-16,1.68967e-18
0.0603015,0.175504,1.69372e-17,0,2.22045e-16,2.01384e-18
0.0653266,0.189636,1.90151e-17,0,2.22045e-16,2.36645e-18
0.0703518,0.203685,2.1239e-17,0,2.22045e-16,2.7508e-18
0.0753769,0.217659,2.37564e-17,0,2.22045e-16,3.16381e-18
0.080402,0.231558,2.65722e-17,0,2.22045e-16,3.60471e-18
0.0854271,0.245382,2.966e-17,0,2.22045e-16,4.07249e-18
0.0904523,0.259131,3.2951e-17,0,2.22045e-16,4.56606e-18
0.0954774,0.272807,3.6409e-17,0,2.22045e-16,5.08421e-18
0.100503,0.28641,4.00524e-17,0,2.22045e-16,5.62571e-18
0.105528,0.299937,4.39401e-17,0,2.22045e-16,6.19044e-18
0.110553,0.313377,4.77557e-17,0,2.22045e-16,6.77992e-18
0.115578,0.326743,5.13577e-17,0,2.22045e-16,7.38841e-18
0.120603,0.340038,5.49286e-17,0,2.22045e-16,8.01438e-18
0.125628,0.353262,5.85465e-17,0,2.22045e-16,8.65633e-18
0.130653,0.366415,6.21822e-17,0,2.22045e-16,9.31294e-18
0.135678,0.379472,6.54328e-17,0,2.22045e-16,9.98676e-18
0.140704,0.392459,6.84072e-17,0,2.22045e-16,1.06711e-17
0.145729,0.405377,7.10471e-17,0,2.22045e-16,1.13644e-17
0.150754,0.418228,7.32757e-17,0,2.22045e-16,1.20656e-17
0.155779,0.430986,7.45656e-17,0,2.22045e-16,1.27748e-17
0.160804,0.443668,7.50826e-17,0,2.22045e-16,1.34883e-17
0.165829,0.456284,7.51018e-17,0,2.22045e-16,1.42042e-17
0.170854,0.468836,7.47454e-17,0,2.22045e-16,1.49216e-17
0.175879,0.481283,7.35702e-17,0,2.22045e-16,1.56384e-17
0.180905,0.493665,7.19735e-17,0,2.22045e-16,1.63528e-17
0.18593,0.505984,7.00961e-17,0,2.22045e-16,1.70644e-17
