# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
1             	9.999963e-01	0.000000e+00	0.000000e+00
2             	1.000000e+00	9.926963e-01	1.000000e+00
3             	2.080825e-01	3.905954e-01	6.340274e-01
4             	1.502765e-01	1.305851e-01	3.980652e-01
5             	2.369115e-01	1.217926e-01	4.063159e-01
6             	4.945406e-01	1.214728e-01	4.905956e-01
7             	5.002437e-01	9.234157e-02	5.060347e-01
8             	3.664130e-01	9.719494e-02	4.412167e-01
9             	2.449989e-01	6.494622e-02	3.788324e-01
10            	2.678492e-01	4.602920e-02	3.836483e-01
11            	3.076268e-01	3.468915e-02	5.150390e-01
12            	4.247469e-01	2.664211e-02	5.841016e-01
13            	2.883506e-01	2.240641e-02	4.057253e-01
14            	1.985654e-01	1.947793e-02	3.457189e-01
15            	2.000892e-01	1.735697e-02	3.382281e-01
16            	2.564408e-01	1.549750e-02	2.326272e-01
17            	2.439584e-01	1.403128e-02	2.549520e-01
18            	1.214370e-01	1.246112e-02	2.299040e-01
19            	5.857171e-02	1.157324e-02	1.794504e-01
20            	3.865237e-02	1.098220e-02	1.807679e-01
21            	2.636829e-02	1.046116e-02	1.746180e-01
22            	1.945118e-02	1.004023e-02	1.535959e-01
23            	1.451580e-02	9.659643e-03	1.434358e-01
24            	1.016724e-02	9.345860e-03	1.351780e-01
25            	8.599224e-03	9.055621e-03	1.195957e-01
26            	7.618669e-03	8.765283e-03	9.481475e-02
27            	6.501266e-03	8.506063e-03	9.136716e-02
28            	5.701914e-03	8.264787e-03	8.660839e-02
29            	5.012893e-03	8.039781e-03	7.967698e-02
30            	4.699787e-03	7.828074e-03	6.537096e-02
31            	4.369814e-03	7.602702e-03	5.472058e-02
32            	3.894714e-03	7.322401e-03	4.618895e-02
33            	3.392519e-03	7.044161e-03	3.851168e-02
34            	3.157254e-03	6.792397e-03	3.337777e-02
35            	2.925859e-03	6.562596e-03	2.947502e-02
36            	2.882258e-03	6.352283e-03	2.703388e-02
37            	2.832696e-03	6.163124e-03	2.644030e-02
38            	2.603189e-03	5.989298e-03	2.678027e-02
39            	2.326128e-03	5.830912e-03	2.768983e-02
40            	2.113591e-03	5.680537e-03	2.851217e-02
41            	1.921202e-03	5.546515e-03	2.941361e-02
42            	1.735750e-03	5.420771e-03	3.007408e-02
43            	1.669874e-03	5.300089e-03	3.049212e-02
44            	1.593903e-03	5.190020e-03	3.037894e-02
45            	1.572869e-03	5.087462e-03	3.022023e-02
46            	1.650052e-03	4.986186e-03	2.977797e-02
47            	1.699711e-03	4.892802e-03	2.917960e-02
48            	1.861060e-03	4.806610e-03	2.842756e-02
49            	2.069859e-03	4.721785e-03	2.783962e-02
50            	2.252305e-03	4.641741e-03	2.714671e-02
51            	2.640342e-03	4.565372e-03	2.629482e-02
52            	3.107438e-03	4.492144e-03	2.522853e-02
53            	3.853791e-03	4.422674e-03	2.421864e-02
54            	5.163986e-03	4.356859e-03	2.326587e-02
55            	7.981438e-03	4.292635e-03	2.243382e-02
56            	1.470339e-02	4.231930e-03	2.149538e-02
57            	1.273461e-02	4.175072e-03	2.078145e-02
58            	6.898012e-03	4.120258e-03	2.004687e-02
59            	4.717023e-03	4.067063e-03	1.937785e-02
60            	3.576590e-03	4.016085e-03	1.875610e-02
61            	2.874935e-03	3.968254e-03	1.833420e-02
62            	2.583635e-03	3.922348e-03	1.793902e-02
