# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
1             	9.999963e-01	0.000000e+00	0.000000e+00
2             	1.000000e+00	9.934364e-01	1.000000e+00
3             	1.929915e-01	3.489172e-01	6.510982e-01
4             	9.964273e-02	8.464097e-02	3.712683e-01
5             	1.409608e-01	9.268972e-02	4.494485e-01
6             	2.389187e-01	1.001953e-01	6.060363e-01
7             	3.767064e-01	8.631813e-02	5.495595e-01
8             	2.714414e-01	1.063630e-01	4.300542e-01
9             	2.506789e-01	7.718931e-02	4.584877e-01
10            	3.582476e-01	6.072831e-02	4.040319e-01
11            	2.622590e-01	4.358450e-02	4.244586e-01
12            	2.499975e-01	3.413289e-02	4.044861e-01
13            	2.469201e-01	2.744062e-02	4.396778e-01
14            	2.774557e-01	2.296483e-02	3.444790e-01
15            	1.556617e-01	2.045809e-02	3.495886e-01
16            	1.460664e-01	1.840548e-02	3.743238e-01
17            	1.425418e-01	1.620644e-02	2.508127e-01
18            	1.278563e-01	1.513693e-02	3.191504e-01
19            	1.625763e-01	1.416713e-02	3.008547e-01
20            	1.118114e-01	1.318405e-02	3.563954e-01
21            	8.003502e-02	1.233025e-02	3.226436e-01
22            	6.024124e-02	1.175636e-02	2.286175e-01
23            	4.737065e-02	1.124244e-02	2.014208e-01
24            	3.628658e-02	1.075909e-02	2.146004e-01
25            	3.917092e-02	1.032093e-02	2.066870e-01
26            	5.364716e-02	9.930083e-03	1.801750e-01
27            	8.861023e-02	9.547131e-03	1.771333e-01
28            	4.416868e-02	9.204012e-03	1.585742e-01
29            	2.619741e-02	8.885503e-03	1.368040e-01
30            	1.635940e-02	8.588589e-03	1.176522e-01
31            	1.104843e-02	8.320210e-03	1.141691e-01
32            	7.153993e-03	8.066277e-03	1.050461e-01
33            	5.549993e-03	7.836902e-03	9.148798e-02
34            	4.574853e-03	7.605785e-03	7.712686e-02
35            	4.020466e-03	7.315230e-03	6.519657e-02
36            	3.493584e-03	7.023572e-03	5.536615e-02
37            	3.028654e-03	6.751453e-03	4.795797e-02
