y,U_x,U_y,U_z,k,nut
0,0,0,0,2.22045e-16,0
0.00502513,0.015084,2.27355e-20,0,2.22045e-16,2.44552e-20
0.0100503,0.030045,6.05734e-20,0,2.22045e-16,8.48562e-20
0.0150754,0.0449307,2.03761e-21,0,2.22045e-16,1.96766e-19
0.0201005,0.0597411,-9.22393e-20,0,2.22045e-16,3.64073e-19
0.0251256,0.074476,-2.62181e-19,0,2.22045e-16,5.85931e-19
0.0301508,0.0891353,-5.30425e-19,0,2.22045e-16,8.59404e-19
0.0351759,0.103719,-9.45007e-19,0,2.22045e-16,1.18172e-18
0.040201,0.118227,-1.51076e-18,0,2.22045e-16,1.55129e-18
0.0452261,0.13266,-2.12768e-18,0,2.22045e-16,1.9676e-18
0.0502513,0.147017,-2.68438e-18,0,2.22045e-16,2.4307e-18
0.0552764,0.161299,-3.10718e-18,0,2.22045e-16,2.94061e-18
0.0603015,0.175507,-3.34785e-18,0,2.22045e-16,3.49644e-18
0.0653266,0.189639,-3.32523e-18,0,2.22045e-16,4.09597e-18
0.0703518,0.203689,-2.86797e-18,0,2.22045e-16,4.73997e-18
0.0753769,0.217663,-2.15001e-18,0,2.22045e-16,5.41988e-18
0.080402,0.231562,-1.34676e-18,0,2.22045e-16,6.1308e-18
0.0854271,0.245387,-6.61854e-19,0,2.22045e-16,6.86756e-18
0.0904523,0.259136,-2.38086e-19,0,2.22045e-16,7.62487e-18
0.0954774,0.272812,-1.17888e-19,0,2.22045e-16,8.39751e-18
0.100503,0.286416,-2.67942e-19,0,2.22045e-16,9.18044e-18
0.105528,0.299943,-6.49477e-19,0,2.22045e-16,9.96887e-18
0.110553,0.313383,-8.55189e-19,0,2.22045e-16,1.07565e-17
0.115578,0.326749,-7.63575e-19,0,2.22045e-16,1.15385e-17
0.120603,0.340044,-5.24973e-19,0,2.22045e-16,1.23114e-17
0.125628,0.353268,-3.10238e-19,0,2.22045e-16,1.30727e-17
0.130653,0.366422,-2.89796e-19,0,2.22045e-16,1.38198e-17
0.135678,0.379479,-7.46397e-19,0,2.22045e-16,1.45439e-17
0.140704,0.392466,-1.29723e-18,0,2.22045e-16,1.52491e-17
0.145729,0.405384,-1.69634e-18,0,2.22045e-16,1.5935e-17
0.150754,0.418235,-1.78491e-18,0,2.22045e-16,1.66014e-17
0.155779,0.430993,-1.51597e-18,0,2.22045e-16,1.72404e-17
