y,U_x,U_y,U_z,k,nut
0,0,0,0,1.23233e-06,0
0.00502513,0.0883094,7.7117e-09,0,3.04379e-05,1.02969e-07
0.0100503,0.175545,2.69155e-08,0,0.000216477,1.58262e-06
0.0150754,0.260379,5.67217e-08,0,0.000762699,9.37185e-06
0.0201005,0.339219,9.10825e-08,0,0.00174562,3.1193e-05
0.0251256,0.408229,1.2089e-07,0,0.00297473,7.09349e-05
0.0301508,0.466037,1.39425e-07,0,0.00416348,0.000125166
0.0351759,0.513947,1.45789e-07,0,0.00515623,0.000187228
0.040201,0.554114,1.42926e-07,0,0.00593851,0.000254045
0.0452261,0.588303,1.34819e-07,0,0.00654566,0.000325539
0.0502513,0.617788,1.24785e-07,0,0.00701493,0.000400986
0.0552764,0.643531,1.14606e-07,0,0.00737832,0.000479431
0.0603015,0.666265,1.0529e-07,0,0.0076611,0.000560098
0.0653266,0.686552,9.73215e-08,0,0.00788239,0.000642428
0.0703518,0.704636,9.09456e-08,0,0.0080524,0.000726073
0.0753769,0.721071,8.58019e-08,0,0.00818694,0.000810566
0.080402,0.736113,8.15515e-08,0,0.00829348,0.000895688
0.0854271,0.749964,7.78422e-08,0,0.00837764,0.000981285
0.0904523,0.762788,7.43631e-08,0,0.00844369,0.00106725
0.0954774,0.774718,7.0872e-08,0,0.00849492,0.0011535
0.100503,0.785863,6.72026e-08,0,0.00853388,0.00123999
0.105528,0.796281,6.32464e-08,0,0.00856213,0.00132667
0.110553,0.805975,5.89583e-08,0,0.00858039,0.00141353
0.115578,0.815136,5.44715e-08,0,0.00859175,0.00150049
0.120603,0.823817,4.98736e-08,0,0.00859713,0.00158752
0.125628,0.832063,4.52463e-08,0,0.0085973,0.00167458
0.130653,0.839909,4.06644e-08,0,0.00859286,0.00176165
0.135678,0.84727,3.62586e-08,0,0.00858313,0.00184863
0.140704,0.854316,3.20309e-08,0,0.00857009,0.00193549
0.145729,0.861071,2.79929e-08,0,0.00855409,0.00202217
0.150754,0.867556,2.41528e-08,0,0.00853541,0.00210865
0.155779,0.873705,2.05994e-08,0,0.00851351,0.00219473
0.160804,0.879606,1.7293e-08,0,0.0084893,0.0022804
0.165829,0.885303,1.4205e-08,0,0.00846325,0.00236565
0.170854,0.890808,1.13329e-08,0,0.0084355,0.00245045
0.175879,0.896034,8.81177e-09,0,0.00840533,0.00253438
0.180905,0.901101,6.50232e-09,0,0.00837382,0.00261768
0.18593,0.906021,4.39178e-09,0,0.00834109,0.00270035
0.190955,0.910747,2.54685e-09,0,0.00830678,0.00278204
0.19598,0.915305,9.28315e-10,0,0.00827114,0.00286271
0.201005,0.919749,-5.36603e-10,0,0.00823459,0.0029426
0.20603,0.924048,-1.81231e-09,0,0.00819692,0.00302144
0.211055,0.928191,-2.88571e-09,0,0.00815808,0.00309893
0.21608,0.932244,-3.83864e-09,0,0.00811857,0.00317559
0.221106,0.936177,-4.63076e-09,0,0.00807816,0.00325107
0.226131,0.939977,-5.23646e-09,0,0.00803681,0.00332514
0.231156,0.943706,-5.73871e-09,0,0.00799495,0.0033984
0.236181,0.94732,-6.07796e-09,0,0.0079523,0.00347036
0.241206,0.950834,-6.29463e-09,0,0.00790897,0.00354117
0.246231,0.954289,-6.44847e-09,0,0.00786527,0.00361133
0.251256,0.957624,-6.52781e-09,0,0.00782079,0.0036802
0.256281,0.960895,-6.63587e-09,0,0.00777595,0.00374851
0.261307,0.964103,-6.77228e-09,0,0.00773072,0.00381628
0.266332,0.967204,-7.09255e-09,0,0.00768495,0.00388348
0.271357,0.970265,-7.50358e-09,0,0.00763898,0.00395059
0.276382,0.973235,-8.14182e-09,0,0.00759262,0.00401765
0.281407,0.976144,-8.86804e-09,0,0.00754606,0.004085
0.286432,0.979002,-9.6682e-09,0,0.00749933,0.0041526
0.291457,0.981769,-1.01821e-08,0,0.00745242,0.00422103
0.296482,0.984506,-1.04861e-08,0,0.00740548,0.00428974
0.301508,0.98715,-9.63043e-09,0,0.00735849,0.00435935
0.306533,0.989757,-7.81887e-09,0,0.00731154,0.004429
0.311558,0.992299,-4.38376e-09,0,0.00726466,0.00449873
0.316583,0.994784,9.99954e-10,0,0.00721792,0.00456699
0.321608,0.997229,7.69639e-09,0,0.00717126,0.00463427
0.326633,0.999603,1.5888e-08,0,0.00712482,0.00469547
0.331658,1.00196,2.44549e-08,0,0.00707843,0.00475515
0.336683,1.00424,3.312e-08,0,0.00703222,0.00480315
