# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
1             	9.999893e-01	0.000000e+00	0.000000e+00
2             	1.000000e+00	3.756299e-01	1.000000e+00
3             	2.083953e-01	5.621958e-02	3.896847e-01
4             	1.340570e-01	2.727601e-02	2.980421e-01
5             	1.305939e-01	1.892186e-02	2.691886e-01
6             	1.197387e-01	1.461522e-02	3.493633e-01
7             	1.368788e-01	1.160902e-02	4.801058e-01
8             	1.588322e-01	9.424343e-03	5.351847e-01
9             	1.508104e-01	7.824854e-03	5.609143e-01
10            	1.347091e-01	6.622828e-03	5.435672e-01
11            	1.264423e-01	5.672294e-03	4.991138e-01
12            	1.243555e-01	4.889122e-03	4.757863e-01
13            	1.178173e-01	4.254773e-03	4.879320e-01
14            	1.139644e-01	3.735714e-03	4.816090e-01
15            	1.104282e-01	3.285178e-03	4.647665e-01
16            	1.061831e-01	2.903161e-03	4.319500e-01
17            	1.057529e-01	2.575056e-03	3.974454e-01
18            	1.011091e-01	2.286206e-03	3.733132e-01
19            	9.753311e-02	2.042307e-03	3.877985e-01
20            	9.580954e-02	1.825327e-03	3.748811e-01
21            	9.939292e-02	1.638477e-03	3.593089e-01
22            	9.926325e-02	1.474649e-03	3.608269e-01
23            	1.019448e-01	1.331674e-03	3.601034e-01
24            	1.013420e-01	1.205161e-03	3.556171e-01
25            	1.029723e-01	1.094612e-03	3.657573e-01
26            	1.014000e-01	1.002174e-03	3.650295e-01
27            	9.906707e-02	9.189985e-04	3.602617e-01
28            	9.985044e-02	8.463637e-04	3.624643e-01
29            	9.756553e-02	7.792907e-04	3.547131e-01
30            	1.019647e-01	7.182399e-04	3.536677e-01
31            	9.786789e-02	6.632659e-04	3.235905e-01
32            	9.620931e-02	6.140163e-04	3.014114e-01
33            	9.404043e-02	5.694868e-04	2.608340e-01
34            	8.735774e-02	5.301152e-04	2.412611e-01
35            	8.693495e-02	4.935004e-04	2.126104e-01
36            	7.969095e-02	4.605595e-04	1.847240e-01
37            	6.875202e-02	4.305802e-04	1.555560e-01
38            	6.710636e-02	4.030470e-04	1.479665e-01
39            	5.754359e-02	3.779975e-04	1.111737e-01
40            	5.843070e-02	3.556216e-04	1.146659e-01
41            	4.934493e-02	3.351748e-04	1.072879e-01
42            	4.740033e-02	3.166765e-04	1.049231e-01
43            	3.923785e-02	2.997079e-04	1.031360e-01
44            	3.706156e-02	2.840892e-04	9.212125e-02
45            	3.817205e-02	2.698076e-04	7.213656e-02
46            	3.337415e-02	2.568174e-04	6.596883e-02
47            	3.266889e-02	2.452824e-04	6.704786e-02
48            	3.579150e-02	2.347454e-04	7.086197e-02
49            	3.515697e-02	2.252285e-04	7.104125e-02
50            	3.352432e-02	2.165959e-04	6.888215e-02
51            	3.133509e-02	2.086926e-04	6.827920e-02
52            	3.415455e-02	2.016180e-04	6.857062e-02
53            	2.921555e-02	1.952849e-04	6.335117e-02
54            	2.809696e-02	1.898836e-04	6.224486e-02
55            	2.651409e-02	1.852751e-04	5.920964e-02
