y,U_x,U_y,U_z
5.48744,3.85081,2.19901e-07,0
5.52261,3.85964,2.20064e-07,0
5.55779,3.86841,2.20166e-07,0
5.59296,3.87596,2.18928e-07,0
5.62814,3.88351,2.1769e-07,0
5.66332,3.89107,2.16452e-07,0
5.69849,3.89862,2.15213e-07,0
5.73367,3.90617,2.13975e-07,0
5.76884,3.91372,2.12737e-07,0
5.80402,3.92039,2.0997e-07,0
5.8392,3.92663,2.06474e-07,0
5.87437,3.93288,2.02978e-07,0
5.90955,3.93912,1.99482e-07,0
5.94472,3.94536,1.95986e-07,0
5.9799,3.95161,1.9249e-07,0
6.01508,3.95768,1.88659e-07,0
6.05025,3.96257,1.82561e-07,0
6.08543,3.96747,1.76462e-07,0
6.1206,3.97237,1.70364e-07,0
6.15578,3.97727,1.64266e-07,0
6.19095,3.98216,1.58167e-07,0
6.22613,3.98706,1.52069e-07,0
6.26131,3.99141,1.45493e-07,0
6.29648,3.99493,1.38175e-07,0
6.33166,3.99844,1.30857e-07,0
6.36683,4.00195,1.23539e-07,0
6.40201,4.00546,1.16221e-07,0
6.43719,4.00898,1.08903e-07,0
6.47236,4.01249,1.01585e-07,0
6.50754,4.01534,9.4492e-08,0
6.54271,4.01743,8.76597e-08,0
6.57789,4.01952,8.08275e-08,0
6.61307,4.02161,7.39953e-08,0
6.64824,4.0237,6.7163e-08,0
6.68342,4.02578,6.03308e-08,0
6.71859,4.02787,5.34986e-08,0
6.75377,4.02949,4.6719e-08,0
6.78894,4.03017,4.00449e-08,0
6.82412,4.03085,3.33707e-08,0
6.8593,4.03153,2.66966e-08,0
6.89447,4.0322,2.00224e-08,0
6.92965,4.03288,1.33483e-08,0
6.96482,4.03356,6.67415e-09,0
7,4.03424,-1.6852e-22,0
