y,U_x,U_y,U_z,k,nut
0,0,0,0,1.23606e-05,0
0.00502513,0.166095,2.8488e-09,0,0.000278374,1.82594e-06
0.0100503,0.316106,1.07546e-08,0,0.0015046,1.75925e-05
0.0150754,0.432247,2.18603e-08,0,0.00339181,5.90534e-05
0.0201005,0.51309,3.32425e-08,0,0.00489884,0.000119348
0.0251256,0.570287,4.32022e-08,0,0.00579641,0.000189409
0.0301508,0.613095,5.1147e-08,0,0.00633208,0.000266609
0.0351759,0.646669,5.735e-08,0,0.00666334,0.00034828
0.040201,0.674026,6.20213e-08,0,0.0068766,0.000432093
0.0452261,0.697024,6.49609e-08,0,0.00701843,0.000516023
0.0502513,0.716846,6.6087e-08,0,0.00711461,0.000599219
0.0552764,0.734263,6.55448e-08,0,0.00717996,0.000681996
0.0603015,0.749789,6.36916e-08,0,0.00722334,0.000764538
0.0653266,0.763787,6.11585e-08,0,0.00725049,0.000846692
0.0703518,0.776413,5.83307e-08,0,0.00726433,0.000928291
0.0753769,0.788008,5.5469e-08,0,0.00726898,0.00100931
0.080402,0.798726,5.27226e-08,0,0.00726639,0.00108973
0.0854271,0.80869,5.01774e-08,0,0.00725797,0.00116952
0.0904523,0.818,4.7873e-08,0,0.0072448,0.00124868
0.0954774,0.826735,4.58189e-08,0,0.00722775,0.00132722
0.100503,0.834963,4.40062e-08,0,0.00720746,0.00140515
0.105528,0.842719,4.24281e-08,0,0.00718435,0.00148246
0.110553,0.849998,4.10874e-08,0,0.00715861,0.00155907
0.115578,0.856925,3.9915e-08,0,0.00713106,0.00163513
0.120603,0.863532,3.88862e-08,0,0.00710195,0.00171067
0.125628,0.869848,3.79788e-08,0,0.00707151,0.0017857
0.130653,0.875894,3.71736e-08,0,0.0070399,0.00186024
0.135678,0.881611,3.64797e-08,0,0.00700699,0.00193416
0.140704,0.887111,3.58627e-08,0,0.00697329,0.00200764
0.145729,0.89241,3.53287e-08,0,0.00693891,0.00208072
0.150754,0.897521,3.48837e-08,0,0.00690393,0.0021534
0.155779,0.902397,3.45826e-08,0,0.00686827,0.00222558
0.160804,0.907096,3.44072e-08,0,0.00683216,0.00229737
0.165829,0.91165,3.43212e-08,0,0.0067957,0.00236882
0.170854,0.916066,3.4309e-08,0,0.00675895,0.00243995
0.175879,0.920278,3.42913e-08,0,0.00672182,0.00251039
0.180905,0.924375,3.41962e-08,0,0.00668449,0.0025796
0.18593,0.928364,3.40141e-08,0,0.00664698,0.00264751
0.190955,0.932212,3.36751e-08,0,0.00660924,0.00271326
0.19598,0.935939,3.32013e-08,0,0.00657129,0.00277755
0.201005,0.939582,3.26548e-08,0,0.00653319,0.00284093
0.20603,0.943121,3.20405e-08,0,0.00649489,0.00290328
0.211055,0.946545,3.14064e-08,0,0.00645637,0.00296467
0.21608,0.949901,3.07746e-08,0,0.00641771,0.00302553
0.221106,0.953168,3.01566e-08,0,0.00637886,0.00308571
0.226131,0.956335,2.95771e-08,0,0.00633981,0.00314521
0.231156,0.959447,2.90269e-08,0,0.00630064,0.00320435
0.236181,0.962471,2.8533e-08,0,0.00626127,0.00326296
0.241206,0.965416,2.8117e-08,0,0.00622175,0.00332121
0.246231,0.968316,2.77512e-08,0,0.00618212,0.00337927
0.251256,0.97112,2.75155e-08,0,0.0061423,0.00343712
0.256281,0.973873,2.73545e-08,0,0.00610239,0.00349507
0.261307,0.976573,2.72673e-08,0,0.00606238,0.00355312
0.266332,0.979186,2.72459e-08,0,0.00602225,0.00361185
0.271357,0.981765,2.72108e-08,0,0.00598208,0.00367102
0.276382,0.984269,2.70929e-08,0,0.00594186,0.00373139
0.281407,0.98672,2.67686e-08,0,0.00590163,0.00379307
0.286432,0.989127,2.62707e-08,0,0.00586141,0.00385585
0.291457,0.991455,2.52328e-08,0,0.00582128,0.00392139
0.296482,0.993756,2.4015e-08,0,0.0057812,0.00398791
0.301508,0.995974,2.22094e-08,0,0.00574133,0.00405787
0.306533,0.998157,2.03353e-08,0,0.0057016,0.00412931
0.311558,1.00028,1.8345e-08,0,0.0056621,0.00420324
0.316583,1.00235,1.68821e-08,0,0.00562291,0.00427887
0.321608,1.00438,1.57745e-08,0,0.00558392,0.00435566
0.326633,1.00634,1.61924e-08,0,0.0055454,0.00443232
0.331658,1.00829,1.69931e-08,0,0.005507,0.00450896
0.336683,1.01015,1.91509e-08,0,0.00546919,0.00457978
0.341709,1.012,2.13921e-08,0,0.00543146,0.00464936
0.346734,1.01379,2.39769e-08,0,0.0053942,0.00471136
0.351759,1.01556,2.63618e-08,0,0.00535706,0.00477223
0.356784,1.01728,2.81522e-08,0,0.00532027,0.00482975
0.361809,1.01897,2.94012e-08,0,0.00528364,0.00488679
0.366834,1.02063,2.96442e-08,0,0.00524731,0.00494293
0.371859,1.02226,2.94858e-08,0,0.00521118,0.00499842
0.376884,1.02386,2.87762e-08,0,0.00517531,0.00505301
0.38191,1.02543,2.78427e-08,0,0.00513965,0.00510683
0.386935,1.02697,2.6652e-08,0,0.00510424,0.00515975
0.39196,1.02849,2.53659e-08,0,0.00506906,0.00521182
0.396985,1.02997,2.39772e-08,0,0.00503412,0.00526298
0.40201,1.03143,2.25621e-08,0,0.00499939,0.0053133
0.407035,1.03286,2.11173e-08,0,0.00496492,0.00536267
0.41206,1.03427,1.96647e-08,0,0.00493064,0.00541127
0.417085,1.03565,1.82017e-08,0,0.00489663,0.00545885
0.422111,1.03702,1.67377e-08,0,0.0048628,0.00550578
0.427136,1.03835,1.52715e-08,0,0.00482926,0.00555157
0.432161,1.03968,1.3813e-08,0,0.00479585,0.00559691
0.437186,1.04097,1.23753e-08,0,0.00476279,0.00564096
0.442211,1.04225,1.09498e-08,0,0.0047298,0.00568478
0.447236,1.04349,9.59978e-09,0,0.00469722,0.00572714
0.452261,1.04473,8.24976e-09,0,0.00466465,0.00576949
0.457286,1.04593,7.04037e-09,0,0.00463255,0.00581023
0.462312,1.04713,5.83366e-09,0,0.00460047,0.00585093
0.467337,1.04829,4.77357e-09,0,0.00456878,0.00589035
0.472362,1.04945,3.75158e-09,0,0.00453719,0.00592944
0.477387,1.05058,2.84832e-09,0,0.0045059,0.00596763
0.482412,1.0517,2.03269e-09,0,0.00447482,0.00600515
0.487437,1.05281,1.28439e-09,0,0.00444392,0.00604216
0.492462,1.05388,6.75447e-10,0,0.00441336,0.00607814
0.497487,1.05496,7.50703e-11,0,0.00438283,0.00611406
0.502513,1.056,-3.4088e-10,0,0.00435281,0.00614853
0.507538,1.05704,-7.56831e-10,0,0.00432279,0.006183
0.512563,1.05805,-1.04011e-09,0,0.00429316,0.00621639
0.517588,1.05905,-1.27452e-09,0,0.00426368,0.00624937
0.522613,1.06004,-1.4476e-09,0,0.00423442,0.0062818
0.527638,1.06101,-1.52255e-09,0,0.0042055,0.00631333
0.532663,1.06197,-1.5968e-09,0,0.00417659,0.00634486
0.537688,1.0629,-1.54071e-09,0,0.00414824,0.00637497
0.542714,1.06383,-1.48463e-09,0,0.0041199,0.00640509
0.547739,1.06474,-1.36756e-09,0,0.0040919,0.00643438
0.552764,1.06564,-1.20856e-09,0,0.00406415,0.0064631
0.557789,1.06653,-1.03786e-09,0,0.00403648,0.00649162
0.562814,1.06739,-7.98584e-10,0,0.00400933,0.00651897
0.567839,1.06825,-5.59308e-10,0,0.00398218,0.00654633
0.572864,1.06909,-2.84825e-10,0,0.00395544,0.0065728
0.577889,1.06991,7.44553e-12,0,0.00392891,0.00659883
0.582915,1.07074,3.03657e-10,0,0.00390248,0.00662466
0.58794,1.07154,6.22547e-10,0,0.0038766,0.00664939
0.592965,1.07233,9.41437e-10,0,0.00385071,0.00667412
0.59799,1.07311,1.25832e-09,0,0.00382522,0.00669809
0.603015,1.07387,1.57385e-09,0,0.0038,0.00672156
0.60804,1.07464,1.88908e-09,0,0.00377478,0.00674502
0.613065,1.07537,2.16827e-09,0,0.00375024,0.00676728
0.61809,1.0761,2.44746e-09,0,0.0037257,0.00678954
0.623116,1.07682,2.70994e-09,0,0.00370143,0.00681134
0.628141,1.07752,2.9456e-09,0,0.00367759,0.00683243
0.633166,1.07823,3.18126e-09,0,0.00365375,0.00685352
0.638191,1.0789,3.38671e-09,0,0.00363044,0.00687381
0.643216,1.07958,3.58058e-09,0,0.00360733,0.00689378
0.648241,1.08025,3.7736e-09,0,0.00358423,0.00691373
0.653266,1.08088,3.93227e-09,0,0.00356187,0.00693263
0.658291,1.08152,4.09095e-09,0,0.00353951,0.00695153
0.663317,1.08215,4.24231e-09,0,0.00351736,0.00697014
0.668342,1.08276,4.37553e-09,0,0.00349577,0.00698802
0.673367,1.08337,4.50876e-09,0,0.00347418,0.0070059
0.678392,1.08397,4.63331e-09,0,0.003453,0.00702329
0.683417,1.08455,4.74958e-09,0,0.0034322,0.0070402
0.688442,1.08512,4.86585e-09,0,0.00341141,0.00705711
0.693467,1.08568,4.97322e-09,0,0.00339119,0.00707338
0.698492,1.08623,5.07673e-09,0,0.00337122,0.00708937
0.703518,1.08678,5.18024e-09,0,0.00335125,0.00710536
0.708543,1.08731,5.26994e-09,0,0.003332,0.0071206
0.713568,1.08783,5.35706e-09,0,0.00331288,0.00713571
0.718593,1.08835,5.44418e-09,0,0.00329376,0.00715081
0.723618,1.08884,5.50922e-09,0,0.00327547,0.00716513
0.728643,1.08933,5.57304e-09,0,0.00325723,0.0071794
0.733668,1.08982,5.63652e-09,0,0.00323899,0.00719365
0.738693,1.09028,5.67275e-09,0,0.00322165,0.00720712
0.743719,1.09074,5.70897e-09,0,0.00320432,0.00722058
0.748744,1.09121,5.74448e-09,0,0.00318701,0.00723402
0.753769,1.09164,5.76063e-09,0,0.0031706,0.0072467
0.758794,1.09207,5.77678e-09,0,0.00315419,0.00725937
0.763819,1.0925,5.79276e-09,0,0.0031378,0.00727204
0.768844,1.09291,5.79937e-09,0,0.00312236,0.00728396
0.773869,1.09331,5.80598e-09,0,0.00310691,0.00729588
0.778894,1.09371,5.81258e-09,0,0.00309146,0.00730781
0.78392,1.09409,5.81656e-09,0,0.00307696,0.00731902
0.788945,1.09446,5.82042e-09,0,0.0030625,0.00733021
0.79397,1.09484,5.82428e-09,0,0.00304804,0.00734139
0.798995,1.09519,5.82552e-09,0,0.00303444,0.00735195
0.80402,1.09554,5.82631e-09,0,0.00302099,0.0073624
0.809045,1.09588,5.82709e-09,0,0.00300755,0.00737285
0.81407,1.09621,5.81261e-09,0,0.00299483,0.00738279
0.819095,1.09652,5.79169e-09,0,0.00298243,0.00739251
0.824121,1.09684,5.77076e-09,0,0.00297002,0.00740223
0.829146,1.09714,5.73233e-09,0,0.00295816,0.00741156
0.834171,1.09743,5.6771e-09,0,0.00294683,0.00742052
0.839196,1.09771,5.62188e-09,0,0.00293549,0.00742948
0.844221,1.09799,5.55775e-09,0,0.00292445,0.00743823
0.849246,1.09825,5.46989e-09,0,0.00291421,0.0074464
0.854271,1.0985,5.38202e-09,0,0.00290397,0.00745458
0.859296,1.09876,5.29416e-09,0,0.00289373,0.00746275
0.864322,1.09899,5.17836e-09,0,0.00288459,0.00747013
0.869347,1.09921,5.06226e-09,0,0.00287547,0.0074775
0.874372,1.09944,4.94616e-09,0,0.00286635,0.00748488
0.879397,1.09965,4.81585e-09,0,0.00285799,0.0074917
0.884422,1.09985,4.67823e-09,0,0.00285001,0.00749824
0.889447,1.10005,4.5406e-09,0,0.00284203,0.00750479
0.894472,1.10024,4.39719e-09,0,0.00283439,0.00751108
0.899497,1.10041,4.23916e-09,0,0.00282758,0.00751674
0.904523,1.10057,4.08114e-09,0,0.00282077,0.0075224
0.909548,1.10074,3.92311e-09,0,0.00281396,0.00752807
0.914573,1.10088,3.74269e-09,0,0.00280817,0.00753293
0.919598,1.10102,3.55861e-09,0,0.00280256,0.00753766
0.924623,1.10116,3.37452e-09,0,0.00279694,0.0075424
0.929648,1.10129,3.18071e-09,0,0.00279179,0.00754675
0.934673,1.10139,2.97147e-09,0,0.00278739,0.00755051
0.939698,1.1015,2.76223e-09,0,0.00278299,0.00755427
0.944724,1.10161,2.55299e-09,0,0.00277858,0.00755803
0.949749,1.10169,2.32893e-09,0,0.00277525,0.0075609
0.954774,1.10177,2.10256e-09,0,0.00277208,0.00756364
0.959799,1.10185,1.87619e-09,0,0.00276891,0.00756637
0.964824,1.10191,1.64732e-09,0,0.00276611,0.0075688
0.969849,1.10196,1.41246e-09,0,0.0027642,0.00757048
0.974874,1.10201,1.1776e-09,0,0.00276229,0.00757216
0.979899,1.10205,9.42744e-10,0,0.00276038,0.00757384
0.984925,1.10208,7.07279e-10,0,0.00275932,0.00757477
0.98995,1.1021,4.71519e-10,0,0.00275868,0.00757535
